Playlist,Playlist Slug,Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
Atlanta Soundtrack,atlanta,1,Ms. Jackson,Outkast,spotify:track:0I3q5fE6wg7LIfHGngUTnV,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV,0I3q5fE6wg7LIfHGngUTnV,TRUE
Atlanta Soundtrack,atlanta,2,Welcome to Atlanta,Jermaine Dupri & Ludacris,spotify:track:19VTqucnxJuH6kilNdweTh,https://open.spotify.com/track/19VTqucnxJuH6kilNdweTh,19VTqucnxJuH6kilNdweTh,TRUE
Atlanta Soundtrack,atlanta,3,Waterfalls,TLC,spotify:track:6qspW4YKycviDFjHBOaqUY,https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY,6qspW4YKycviDFjHBOaqUY,FALSE
Atlanta Soundtrack,atlanta,4,Yeah!,Usher,spotify:track:5rb9QrpfcKFHM1EUbSIurX,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX,5rb9QrpfcKFHM1EUbSIurX,FALSE
Atlanta Soundtrack,atlanta,5,Midnight Train to Georgia,Gladys Knight & the Pips,spotify:track:7MF7QAodbGzNYav5ZfIhAY,https://open.spotify.com/track/7MF7QAodbGzNYav5ZfIhAY,7MF7QAodbGzNYav5ZfIhAY,FALSE
Atlanta Soundtrack,atlanta,6,Bad and Boujee,Migos,spotify:track:0M9ydKzuF3oZTfYYPfaGX1,https://open.spotify.com/track/0M9ydKzuF3oZTfYYPfaGX1,0M9ydKzuF3oZTfYYPfaGX1,TRUE
Atlanta Soundtrack,atlanta,7,Mask Off,Future,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,0VgkVdmE4gld66l8iyGjgx,TRUE
Atlanta Soundtrack,atlanta,8,Georgia on My Mind,Ray Charles,spotify:track:4DEAiNBvq5yBy7NzpVc02h,https://open.spotify.com/track/4DEAiNBvq5yBy7NzpVc02h,4DEAiNBvq5yBy7NzpVc02h,FALSE
Atlanta Soundtrack,atlanta,9,Chicken Fried,Zac Brown Band,spotify:track:0LQtEJt7x0s6knb6RKdRYc,https://open.spotify.com/track/0LQtEJt7x0s6knb6RKdRYc,0LQtEJt7x0s6knb6RKdRYc,FALSE
Atlanta Soundtrack,atlanta,10,"So Fresh, So Clean",Outkast,spotify:track:6glsMWIMIxQ4BedzLqGVi4,https://open.spotify.com/track/6glsMWIMIxQ4BedzLqGVi4,6glsMWIMIxQ4BedzLqGVi4,TRUE
Austin Soundtrack,austin,1,On the Road Again,Willie Nelson,spotify:track:2GyH5rvdnfkjzsTFaWrrov,https://open.spotify.com/track/2GyH5rvdnfkjzsTFaWrrov,2GyH5rvdnfkjzsTFaWrrov,FALSE
Austin Soundtrack,austin,2,Pride and Joy,Stevie Ray Vaughan & Double Trouble,spotify:track:1a2iF9XymafjRk56q7oCxo,https://open.spotify.com/track/1a2iF9XymafjRk56q7oCxo,1a2iF9XymafjRk56q7oCxo,FALSE
Austin Soundtrack,austin,3,London Homesick Blues,Gary P. Nunn,spotify:track:1dYfAlWi4BstUJhcOYdxnv,https://open.spotify.com/track/1dYfAlWi4BstUJhcOYdxnv,1dYfAlWi4BstUJhcOYdxnv,FALSE
Austin Soundtrack,austin,4,The Way We Get By,Spoon,spotify:track:2k6TManBkFAweRUCH6jYny,https://open.spotify.com/track/2k6TManBkFAweRUCH6jYny,2k6TManBkFAweRUCH6jYny,FALSE
Austin Soundtrack,austin,5,Miles and Miles of Texas,Asleep at the Wheel,spotify:track:1ErD8sVTiF7OwO7pVI0NtT,https://open.spotify.com/track/1ErD8sVTiF7OwO7pVI0NtT,1ErD8sVTiF7OwO7pVI0NtT,FALSE
Austin Soundtrack,austin,6,Dearly Departed,Shakey Graves,spotify:track:0QeoO5Y3EtKstiq5a18tUW,https://open.spotify.com/track/0QeoO5Y3EtKstiq5a18tUW,0QeoO5Y3EtKstiq5a18tUW,FALSE
Austin Soundtrack,austin,7,Bright Lights,Gary Clark Jr.,spotify:track:5nlAKJhde77caBJIHMfDcV,https://open.spotify.com/track/5nlAKJhde77caBJIHMfDcV,5nlAKJhde77caBJIHMfDcV,FALSE
