Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Ms. Jackson,Outkast,spotify:track:0I3q5fE6wg7LIfHGngUTnV,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV,0I3q5fE6wg7LIfHGngUTnV,TRUE
2,Welcome to Atlanta,Jermaine Dupri & Ludacris,spotify:track:19VTqucnxJuH6kilNdweTh,https://open.spotify.com/track/19VTqucnxJuH6kilNdweTh,19VTqucnxJuH6kilNdweTh,TRUE
3,Waterfalls,TLC,spotify:track:6qspW4YKycviDFjHBOaqUY,https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY,6qspW4YKycviDFjHBOaqUY,FALSE
4,Yeah!,Usher,spotify:track:5rb9QrpfcKFHM1EUbSIurX,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX,5rb9QrpfcKFHM1EUbSIurX,FALSE
5,Midnight Train to Georgia,Gladys Knight & the Pips,spotify:track:7MF7QAodbGzNYav5ZfIhAY,https://open.spotify.com/track/7MF7QAodbGzNYav5ZfIhAY,7MF7QAodbGzNYav5ZfIhAY,FALSE
6,Bad and Boujee,Migos,spotify:track:0M9ydKzuF3oZTfYYPfaGX1,https://open.spotify.com/track/0M9ydKzuF3oZTfYYPfaGX1,0M9ydKzuF3oZTfYYPfaGX1,TRUE
7,Mask Off,Future,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,0VgkVdmE4gld66l8iyGjgx,TRUE
8,Georgia on My Mind,Ray Charles,spotify:track:4DEAiNBvq5yBy7NzpVc02h,https://open.spotify.com/track/4DEAiNBvq5yBy7NzpVc02h,4DEAiNBvq5yBy7NzpVc02h,FALSE
9,Chicken Fried,Zac Brown Band,spotify:track:0LQtEJt7x0s6knb6RKdRYc,https://open.spotify.com/track/0LQtEJt7x0s6knb6RKdRYc,0LQtEJt7x0s6knb6RKdRYc,FALSE
10,"So Fresh, So Clean",Outkast,spotify:track:6glsMWIMIxQ4BedzLqGVi4,https://open.spotify.com/track/6glsMWIMIxQ4BedzLqGVi4,6glsMWIMIxQ4BedzLqGVi4,TRUE
