Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Baltimore,Nina Simone,spotify:track:39CyGKIFqMzSuynOR8uilD,https://open.spotify.com/track/39CyGKIFqMzSuynOR8uilD,39CyGKIFqMzSuynOR8uilD,FALSE
2,Baltimore,Randy Newman,spotify:track:5Qurmyhb9LOjd0ZkzqufQ8,https://open.spotify.com/track/5Qurmyhb9LOjd0ZkzqufQ8,5Qurmyhb9LOjd0ZkzqufQ8,FALSE
3,Myth,Beach House,spotify:track:2vAts2sr7wl8NJwd8qmUEo,https://open.spotify.com/track/2vAts2sr7wl8NJwd8qmUEo,2vAts2sr7wl8NJwd8qmUEo,FALSE
4,My Girls,Animal Collective,spotify:track:7jZBPuJmkOsfPkwFD30dAA,https://open.spotify.com/track/7jZBPuJmkOsfPkwFD30dAA,7jZBPuJmkOsfPkwFD30dAA,FALSE
5,Seasons (Waiting on You),Future Islands,spotify:track:522YBf6WqBwJVAe7oHLymu,https://open.spotify.com/track/522YBf6WqBwJVAe7oHLymu,522YBf6WqBwJVAe7oHLymu,FALSE
6,Snookered,Dan Deacon,spotify:track:6rqxDx2AyWQYgT3zuAPQVU,https://open.spotify.com/track/6rqxDx2AyWQYgT3zuAPQVU,6rqxDx2AyWQYgT3zuAPQVU,FALSE
7,Minnie the Moocher,Cab Calloway,spotify:track:2JOJBxwRHWYcdXiOxZmoFv,https://open.spotify.com/track/2JOJBxwRHWYcdXiOxZmoFv,2JOJBxwRHWYcdXiOxZmoFv,FALSE
8,God Bless the Child,Billie Holiday,spotify:track:5qBni6WW7PGlWTwY3lRWAj,https://open.spotify.com/track/5qBni6WW7PGlWTwY3lRWAj,5qBni6WW7PGlWTwY3lRWAj,FALSE
9,Thank God I'm a Country Boy,John Denver,spotify:track:69HICMmc6nNLucAx3aJX9M,https://open.spotify.com/track/69HICMmc6nNLucAx3aJX9M,69HICMmc6nNLucAx3aJX9M,FALSE
10,The Anthem,Good Charlotte,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,https://open.spotify.com/track/0BRHnOFm6sjxN1i9LJrUDu,0BRHnOFm6sjxN1i9LJrUDu,FALSE
