Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Sweet Caroline,Neil Diamond,spotify:track:62AuGbAkt8Ox2IrFFb8GKV,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV,62AuGbAkt8Ox2IrFFb8GKV,FALSE
2,Dirty Water,The Standells,spotify:track:3NINDFPIYnyT26cWWRomOQ,https://open.spotify.com/track/3NINDFPIYnyT26cWWRomOQ,3NINDFPIYnyT26cWWRomOQ,FALSE
3,I'm Shipping Up to Boston,Dropkick Murphys,spotify:track:7rSERmjAT38lC5QhJ8hnQc,https://open.spotify.com/track/7rSERmjAT38lC5QhJ8hnQc,7rSERmjAT38lC5QhJ8hnQc,FALSE
4,Dream On,Aerosmith,spotify:track:5Ih9gbqyxCzTJ43nuSuKnC,https://open.spotify.com/track/5Ih9gbqyxCzTJ43nuSuKnC,5Ih9gbqyxCzTJ43nuSuKnC,FALSE
5,More Than a Feeling,Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF,https://open.spotify.com/track/1QEEqeFIZktqIpPI4jSVSF,1QEEqeFIZktqIpPI4jSVSF,FALSE
6,Just What I Needed,The Cars,spotify:track:4alHo6RGd0D3OUbTPExTHN,https://open.spotify.com/track/4alHo6RGd0D3OUbTPExTHN,4alHo6RGd0D3OUbTPExTHN,FALSE
7,Boston,Augustana,spotify:track:2WZyfujzMweFLnozyUJBkW,https://open.spotify.com/track/2WZyfujzMweFLnozyUJBkW,2WZyfujzMweFLnozyUJBkW,FALSE
8,Centerfold,The J. Geils Band,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,https://open.spotify.com/track/1ynmMEK1fkyiZ6Z6F3ThEt,1ynmMEK1fkyiZ6Z6F3ThEt,FALSE
9,Candy Girl,New Edition,spotify:track:72OrfuJ9RxfLCoqAMeKHCZ,https://open.spotify.com/track/72OrfuJ9RxfLCoqAMeKHCZ,72OrfuJ9RxfLCoqAMeKHCZ,FALSE
10,Where Is My Mind?,Pixies,spotify:track:0KzAbK6nItSqNh8q70tb0K,https://open.spotify.com/track/0KzAbK6nItSqNh8q70tb0K,0KzAbK6nItSqNh8q70tb0K,FALSE
