Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Go Cubs Go,Steve Goodman,spotify:track:5oTZQTGB0mZoHYWxTj69b7,https://open.spotify.com/track/5oTZQTGB0mZoHYWxTj69b7,5oTZQTGB0mZoHYWxTj69b7,FALSE
2,Na Na Hey Hey Kiss Him Goodbye,Steam,spotify:track:1mrSHPNTDdMkXpR4BiSiD7,https://open.spotify.com/track/1mrSHPNTDdMkXpR4BiSiD7,1mrSHPNTDdMkXpR4BiSiD7,FALSE
3,The Super Bowl Shuffle,The Chicago Bears Shufflin' Crew,spotify:track:2NaPbKk3mIdEaVo0BPyHxn,https://open.spotify.com/track/2NaPbKk3mIdEaVo0BPyHxn,2NaPbKk3mIdEaVo0BPyHxn,FALSE
4,Sirius,The Alan Parsons Project,spotify:track:0hSs4vOZo1OkRiAOoLafrT,https://open.spotify.com/track/0hSs4vOZo1OkRiAOoLafrT,0hSs4vOZo1OkRiAOoLafrT,FALSE
5,Chelsea Dagger,The Fratellis,spotify:track:1bCmvezFg5MRcENzCGG1Cy,https://open.spotify.com/track/1bCmvezFg5MRcENzCGG1Cy,1bCmvezFg5MRcENzCGG1Cy,FALSE
6,My Kind of Town (Chicago Is),Frank Sinatra,spotify:track:4beDjVImBfBTSaFM7dKNEy,https://open.spotify.com/track/4beDjVImBfBTSaFM7dKNEy,4beDjVImBfBTSaFM7dKNEy,FALSE
7,Homecoming,Kanye West,spotify:track:4iz9lGMjU1lXS51oPmUmTe,https://open.spotify.com/track/4iz9lGMjU1lXS51oPmUmTe,4iz9lGMjU1lXS51oPmUmTe,TRUE
8,Sweet Home Chicago,The Blues Brothers,spotify:track:1OJO3vsGqwbIQuLPGeY2Sb,https://open.spotify.com/track/1OJO3vsGqwbIQuLPGeY2Sb,1OJO3vsGqwbIQuLPGeY2Sb,FALSE
9,Saturday in the Park,Chicago,spotify:track:4OJFkrRQqol4FsPesF8eu4,https://open.spotify.com/track/4OJFkrRQqol4FsPesF8eu4,4OJFkrRQqol4FsPesF8eu4,FALSE
10,The Corner,Common,spotify:track:31rk2z6XreitvUgfJURMil,https://open.spotify.com/track/31rk2z6XreitvUgfJURMil,31rk2z6XreitvUgfJURMil,TRUE
