Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Shut Up and Dance,Walk the Moon,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,4kbj5MwxO1bq9wjT5g9HaA,FALSE
2,Bloodbuzz Ohio,The National,spotify:track:5idVbYWHOBsFktyGq9KhkL,https://open.spotify.com/track/5idVbYWHOBsFktyGq9KhkL,5idVbYWHOBsFktyGq9KhkL,FALSE
3,Welcome to the Jungle,Guns N' Roses,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://open.spotify.com/track/0G21yYKMZoHa30cYVi1iA8,0G21yYKMZoHa30cYVi1iA8,TRUE
4,I'd Rather Be with You,Bootsy Collins,spotify:track:42rFOQqHmXf9IkdwVqkooK,https://open.spotify.com/track/42rFOQqHmXf9IkdwVqkooK,42rFOQqHmXf9IkdwVqkooK,FALSE
5,Debonair,The Afghan Whigs,spotify:track:2NGa00eaFm9aMGzn6GkE9z,https://open.spotify.com/track/2NGa00eaFm9aMGzn6GkE9z,2NGa00eaFm9aMGzn6GkE9z,FALSE
6,All My Favorite People,Over the Rhine,spotify:track:0fn2G5nxIgyV1hIlnCdPBF,https://open.spotify.com/track/0fn2G5nxIgyV1hIlnCdPBF,0fn2G5nxIgyV1hIlnCdPBF,FALSE
7,Shout,The Isley Brothers,spotify:track:06u2CAJZndymUuruReCYlt,https://open.spotify.com/track/06u2CAJZndymUuruReCYlt,06u2CAJZndymUuruReCYlt,FALSE
8,"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day,spotify:track:4Ylqc711Eq763XbTAOABu3,https://open.spotify.com/track/4Ylqc711Eq763XbTAOABu3,4Ylqc711Eq763XbTAOABu3,FALSE
9,There Is an End,The Greenhornes,spotify:track:7ElMeCWsfj7IkUGcsWxb5K,https://open.spotify.com/track/7ElMeCWsfj7IkUGcsWxb5K,7ElMeCWsfj7IkUGcsWxb5K,FALSE
10,Oh Lord,Foxy Shazam,spotify:track:5iJU96441eAZ2VdWgxdyJa,https://open.spotify.com/track/5iJU96441eAZ2VdWgxdyJa,5iJU96441eAZ2VdWgxdyJa,TRUE
