Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,On & On,Erykah Badu,spotify:track:0tNuJpBgtE65diL6Q8Q7fI,https://open.spotify.com/track/0tNuJpBgtE65diL6Q8Q7fI,0tNuJpBgtE65diL6Q8Q7fI,TRUE
2,Texas Flood,Stevie Ray Vaughan & Double Trouble,spotify:track:5MtN38MGEWJt60LwtBmFNP,https://open.spotify.com/track/5MtN38MGEWJt60LwtBmFNP,5MtN38MGEWJt60LwtBmFNP,FALSE
3,It's Funky Enough,The D.O.C.,spotify:track:63LiOsvf1w1DSbmjbxjh4b,https://open.spotify.com/track/63LiOsvf1w1DSbmjbxjh4b,63LiOsvf1w1DSbmjbxjh4b,FALSE
4,Timebomb,Old 97's,spotify:track:2S6yBUXa5KddBV0CqBkcP1,https://open.spotify.com/track/2S6yBUXa5KddBV0CqBkcP1,2S6yBUXa5KddBV0CqBkcP1,FALSE
5,Digital Witness,St. Vincent,spotify:track:5L16tlSHNt93RiiRiCc8ya,https://open.spotify.com/track/5L16tlSHNt93RiiRiCc8ya,5L16tlSHNt93RiiRiCc8ya,FALSE
6,Dallas,The Flatlanders,spotify:track:3yKV0h7nRM58lyOcNkko9e,https://open.spotify.com/track/3yKV0h7nRM58lyOcNkko9e,3yKV0h7nRM58lyOcNkko9e,FALSE
7,Goin' Through the Big D,Mark Chesnutt,spotify:track:4s6Q9zPmiYcpo5MR7uoVnt,https://open.spotify.com/track/4s6Q9zPmiYcpo5MR7uoVnt,4s6Q9zPmiYcpo5MR7uoVnt,FALSE
8,We Dem Boyz,Wiz Khalifa,spotify:track:1ULa3GfdMKs0MfRpm6xVlu,https://open.spotify.com/track/1ULa3GfdMKs0MfRpm6xVlu,1ULa3GfdMKs0MfRpm6xVlu,TRUE
9,Cowboys from Hell,Pantera,spotify:track:2SgbR6ttzoNlCRGQOKjrop,https://open.spotify.com/track/2SgbR6ttzoNlCRGQOKjrop,2SgbR6ttzoNlCRGQOKjrop,TRUE
10,Higher,Creed,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,https://open.spotify.com/track/1ZozJfi8u9cO2Ob8KwiwNT,1ZozJfi8u9cO2Ob8KwiwNT,FALSE
