Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Rocky Mountain High,John Denver,spotify:track:1ne9wOtDF2jM6Cm8WBkaER,https://open.spotify.com/track/1ne9wOtDF2jM6Cm8WBkaER,1ne9wOtDF2jM6Cm8WBkaER,FALSE
2,How to Save a Life,The Fray,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J,5fVZC9GiM4e8vu99W0Xf6J,FALSE
3,Counting Stars,OneRepublic,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,2tpWsVSb9UEmDRxAl1zhX1,FALSE
4,How It Ends,DeVotchKa,spotify:track:24dR04JmT6GtVQ0rWJo13V,https://open.spotify.com/track/24dR04JmT6GtVQ0rWJo13V,24dR04JmT6GtVQ0rWJo13V,FALSE
5,Ho Hey,The Lumineers,spotify:track:0DwClY2t9YAWHBROMIgrXb,https://open.spotify.com/track/0DwClY2t9YAWHBROMIgrXb,0DwClY2t9YAWHBROMIgrXb,FALSE
6,S.O.B.,Nathaniel Rateliff & The Night Sweats,spotify:track:1VPUpUwtbpoRVXt0txVU0w,https://open.spotify.com/track/1VPUpUwtbpoRVXt0txVU0w,1VPUpUwtbpoRVXt0txVU0w,TRUE
7,Bittersweet,Big Head Todd and the Monsters,spotify:track:59xrC6NUUNt24Lft63CjiD,https://open.spotify.com/track/59xrC6NUUNt24Lft63CjiD,59xrC6NUUNt24Lft63CjiD,FALSE
8,Handlebars,Flobots,spotify:track:6JH9yWhgbm0y9iAJhCslNc,https://open.spotify.com/track/6JH9yWhgbm0y9iAJhCslNc,6JH9yWhgbm0y9iAJhCslNc,FALSE
9,Don't Trust Me,3OH!3,spotify:track:5jzX4dWVQeBTtfBaXnMRt5,https://open.spotify.com/track/5jzX4dWVQeBTtfBaXnMRt5,5jzX4dWVQeBTtfBaXnMRt5,TRUE
10,You Are the Woman,Firefall,spotify:track:4iiLzvbh0bXMnomiB6DIuk,https://open.spotify.com/track/4iiLzvbh0bXMnomiB6DIuk,4iiLzvbh0bXMnomiB6DIuk,FALSE
