Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Free Bird,Lynyrd Skynyrd,spotify:track:5EWPGh7jbTNO2wakv8LjUI,https://open.spotify.com/track/5EWPGh7jbTNO2wakv8LjUI,5EWPGh7jbTNO2wakv8LjUI,FALSE
2,Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:7e89621JPkKaeDSTQ3avtg,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,7e89621JPkKaeDSTQ3avtg,FALSE
3,Hold On Loosely,.38 Special,spotify:track:6i9dZZQWNB06HKsQYKTiPF,https://open.spotify.com/track/6i9dZZQWNB06HKsQYKTiPF,6i9dZZQWNB06HKsQYKTiPF,FALSE
4,Flirtin' with Disaster,Molly Hatchet,spotify:track:61BywQA7q8KjpGjp3rHuRv,https://open.spotify.com/track/61BywQA7q8KjpGjp3rHuRv,61BywQA7q8KjpGjp3rHuRv,FALSE
5,Rollin' (Air Raid Vehicle),Limp Bizkit,spotify:track:3IV4swNduIRunHREK80owz,https://open.spotify.com/track/3IV4swNduIRunHREK80owz,3IV4swNduIRunHREK80owz,TRUE
6,Ocean Avenue,Yellowcard,spotify:track:23oxJmDc1V9uLUSmN2LIvx,https://open.spotify.com/track/23oxJmDc1V9uLUSmN2LIvx,23oxJmDc1V9uLUSmN2LIvx,FALSE
7,Second Chance,Shinedown,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,https://open.spotify.com/track/0CwYG1UnRmOx8Q1EzElCIL,0CwYG1UnRmOx8Q1EzElCIL,FALSE
8,Simple Man,Lynyrd Skynyrd,spotify:track:1ju7EsSGvRybSNEsRvc7qY,https://open.spotify.com/track/1ju7EsSGvRybSNEsRvc7qY,1ju7EsSGvRybSNEsRvc7qY,FALSE
9,Face Down,The Red Jumpsuit Apparatus,spotify:track:4wzjNqjKAKDU82e8uMhzmr,https://open.spotify.com/track/4wzjNqjKAKDU82e8uMhzmr,4wzjNqjKAKDU82e8uMhzmr,FALSE
10,"Train, Train",Blackfoot,spotify:track:5bSpsKGoGKXOOfg7F3ZtKz,https://open.spotify.com/track/5bSpsKGoGKXOOfg7F3ZtKz,5bSpsKGoGKXOOfg7F3ZtKz,FALSE
