Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Kansas City,Wilbert Harrison,spotify:track:4GvyP7CnBJEV2t7L7vOkjw,https://open.spotify.com/track/4GvyP7CnBJEV2t7L7vOkjw,4GvyP7CnBJEV2t7L7vOkjw,FALSE
2,Red Kingdom,Tech N9ne,spotify:track:5buj0D6E7rCRFi3xV9STYo,https://open.spotify.com/track/5buj0D6E7rCRFi3xV9STYo,5buj0D6E7rCRFi3xV9STYo,FALSE
3,One O'Clock Jump,Count Basie,spotify:track:6DDhXGwCHmzT3EVoXr9lS2,https://open.spotify.com/track/6DDhXGwCHmzT3EVoXr9lS2,6DDhXGwCHmzT3EVoXr9lS2,FALSE
4,Ornithology,Charlie Parker,spotify:track:7s1fLxwhmKa6VDNqzJzOsE,https://open.spotify.com/track/7s1fLxwhmKa6VDNqzJzOsE,7s1fLxwhmKa6VDNqzJzOsE,FALSE
5,"Shake, Rattle and Roll",Big Joe Turner,spotify:track:7aLoa1F3EoM8AeC6Ao1RKz,https://open.spotify.com/track/7aLoa1F3EoM8AeC6Ao1RKz,7aLoa1F3EoM8AeC6Ao1RKz,FALSE
6,Tightrope,Janelle Monáe,spotify:track:1ljzHUgt2SU2ADkhfa9eBC,https://open.spotify.com/track/1ljzHUgt2SU2ADkhfa9eBC,1ljzHUgt2SU2ADkhfa9eBC,FALSE
7,Blurry,Puddle of Mudd,spotify:track:0FLBNqc5oAiTt4J2e3fe3y,https://open.spotify.com/track/0FLBNqc5oAiTt4J2e3fe3y,0FLBNqc5oAiTt4J2e3fe3y,FALSE
8,Ten Minutes,The Get Up Kids,spotify:track:1ChIaMGPLX81mbIRAhD0Yh,https://open.spotify.com/track/1ChIaMGPLX81mbIRAhD0Yh,1ChIaMGPLX81mbIRAhD0Yh,FALSE
9,Caribou Lou,Tech N9ne,spotify:track:0I0wn4G67txQwENcmRH3d6,https://open.spotify.com/track/0I0wn4G67txQwENcmRH3d6,0I0wn4G67txQwENcmRH3d6,TRUE
10,Come to My Window,Melissa Etheridge,spotify:track:4LmlGaGTEbTGE5VngAbpA3,https://open.spotify.com/track/4LmlGaGTEbTGE5VngAbpA3,4LmlGaGTEbTGE5VngAbpA3,FALSE
