Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,I Love L.A.,Randy Newman,spotify:track:1pJHnQCWY4hn8ZWuNJ75jt,https://open.spotify.com/track/1pJHnQCWY4hn8ZWuNJ75jt,1pJHnQCWY4hn8ZWuNJ75jt,FALSE
2,California Love,2Pac,spotify:track:3ia3dJETSOllPsv3LJkE35,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35,3ia3dJETSOllPsv3LJkE35,TRUE
3,Californication,Red Hot Chili Peppers,spotify:track:48UPSzbZjgc449aqz8bxox,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,48UPSzbZjgc449aqz8bxox,FALSE
4,California Dreamin',The Mamas & the Papas,spotify:track:1ZEOIhSn6BKErV59bIgn76,https://open.spotify.com/track/1ZEOIhSn6BKErV59bIgn76,1ZEOIhSn6BKErV59bIgn76,FALSE
5,Straight Outta Compton,N.W.A,spotify:track:6KIKRz9eSTXdNsGUnomdtW,https://open.spotify.com/track/6KIKRz9eSTXdNsGUnomdtW,6KIKRz9eSTXdNsGUnomdtW,TRUE
6,Alright,Kendrick Lamar,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs,3iVcZ5G6tvkXZkZKlMpIUs,TRUE
7,What I Got,Sublime,spotify:track:3B4q6KbHbGV51HO3GznBFF,https://open.spotify.com/track/3B4q6KbHbGV51HO3GznBFF,3B4q6KbHbGV51HO3GznBFF,TRUE
8,L.A. Woman,The Doors,spotify:track:6DmfWj5kOa1fX8AwN9byOn,https://open.spotify.com/track/6DmfWj5kOa1fX8AwN9byOn,6DmfWj5kOa1fX8AwN9byOn,FALSE
9,Gin and Juice,Snoop Dogg,spotify:track:39QBkWKnap8wRSW4WB9OK0,https://open.spotify.com/track/39QBkWKnap8wRSW4WB9OK0,39QBkWKnap8wRSW4WB9OK0,TRUE
10,I Get Around,The Beach Boys,spotify:track:3mXexrmtPJ1KdWN37rYePx,https://open.spotify.com/track/3mXexrmtPJ1KdWN37rYePx,3mXexrmtPJ1KdWN37rYePx,FALSE
