Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Pongamos que hablo de Madrid,Joaquín Sabina,spotify:track:4L3gOv26fhKuOZCOaZgQYj,https://open.spotify.com/track/4L3gOv26fhKuOZCOaZgQYj,4L3gOv26fhKuOZCOaZgQYj,FALSE
2,Hijo de la Luna,Mecano,spotify:track:7g3g2sqevicvurLTZ75JTA,https://open.spotify.com/track/7g3g2sqevicvurLTZ75JTA,7g3g2sqevicvurLTZ75JTA,FALSE
3,A Quién Le Importa,Alaska y Dinarama,spotify:track:7Eb5AYiiGWItBNddlmxvnh,https://open.spotify.com/track/7Eb5AYiiGWItBNddlmxvnh,7Eb5AYiiGWItBNddlmxvnh,FALSE
4,Chica de Ayer,Nacha Pop,spotify:track:4chpfrjIqrOPshlDU4ZrKe,https://open.spotify.com/track/4chpfrjIqrOPshlDU4ZrKe,4chpfrjIqrOPshlDU4ZrKe,FALSE
5,Hala Madrid y Nada Más,Real Madrid C.F.,spotify:track:5pIy4qzGJmEElPppFxSN8W,https://open.spotify.com/track/5pIy4qzGJmEElPppFxSN8W,5pIy4qzGJmEElPppFxSN8W,FALSE
6,Enamorado de la Moda Juvenil,Radio Futura,spotify:track:6dC0U0ZJrmSw05sdnjDpGJ,https://open.spotify.com/track/6dC0U0ZJrmSw05sdnjDpGJ,6dC0U0ZJrmSw05sdnjDpGJ,FALSE
7,Déjame,Los Secretos,spotify:track:74anwTmdyvA3f8RUtCQqKD,https://open.spotify.com/track/74anwTmdyvA3f8RUtCQqKD,74anwTmdyvA3f8RUtCQqKD,FALSE
8,Malamente,Rosalía,spotify:track:1B0BQaSRHxhI0AUlItY3LK,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK,1B0BQaSRHxhI0AUlItY3LK,FALSE
9,Rosas,La Oreja de Van Gogh,spotify:track:4waqcUQWdj0yH26STWl2Rq,https://open.spotify.com/track/4waqcUQWdj0yH26STWl2Rq,4waqcUQWdj0yH26STWl2Rq,FALSE
10,Y Viva España,Manolo Escobar,spotify:track:5ofoJtNO9tlJDPfI7j1Eth,https://open.spotify.com/track/5ofoJtNO9tlJDPfI7j1Eth,5ofoJtNO9tlJDPfI7j1Eth,FALSE
