Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Leaps and Bounds,Paul Kelly,spotify:track:4XFpth43C6jzaA9fK1Jsmp,https://open.spotify.com/track/4XFpth43C6jzaA9fK1Jsmp,4XFpth43C6jzaA9fK1Jsmp,FALSE
2,Down Under,Men at Work,spotify:track:3ZZq9396zv8pcn5GYVhxUi,https://open.spotify.com/track/3ZZq9396zv8pcn5GYVhxUi,3ZZq9396zv8pcn5GYVhxUi,FALSE
3,Don't Dream It's Over,Crowded House,spotify:track:56GbZVwxMdf1DENCluYS8A,https://open.spotify.com/track/56GbZVwxMdf1DENCluYS8A,56GbZVwxMdf1DENCluYS8A,FALSE
4,Living in the 70's,Skyhooks,spotify:track:4xd2I8L75IoTzX5bezbP2m,https://open.spotify.com/track/4xd2I8L75IoTzX5bezbP2m,4xd2I8L75IoTzX5bezbP2m,FALSE
5,Red Right Hand,Nick Cave & The Bad Seeds,spotify:track:0jVo3e34A15l6MNu1O3cfa,https://open.spotify.com/track/0jVo3e34A15l6MNu1O3cfa,0jVo3e34A15l6MNu1O3cfa,FALSE
6,Sweet Disposition,The Temper Trap,spotify:track:49x8Zp5wDjoquBE1THLLCV,https://open.spotify.com/track/49x8Zp5wDjoquBE1THLLCV,49x8Zp5wDjoquBE1THLLCV,FALSE
7,Avant Gardener,Courtney Barnett,spotify:track:39JZ7vKB53VfcsQ5mQIcdj,https://open.spotify.com/track/39JZ7vKB53VfcsQ5mQIcdj,39JZ7vKB53VfcsQ5mQIcdj,FALSE
8,Can't Get You Out of My Head,Kylie Minogue,spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7,https://open.spotify.com/track/3E7ZwUMJFqpsDOJzEkBrQ7,3E7ZwUMJFqpsDOJzEkBrQ7,FALSE
9,Throw Your Arms Around Me,Hunters & Collectors,spotify:track:5HqQCntDNtSHqUN8trMCym,https://open.spotify.com/track/5HqQCntDNtSHqUN8trMCym,5HqQCntDNtSHqUN8trMCym,FALSE
10,From St Kilda to Kings Cross,Paul Kelly,spotify:track:2PiEiTrxNlTA86nyjXIOJE,https://open.spotify.com/track/2PiEiTrxNlTA86nyjXIOJE,2PiEiTrxNlTA86nyjXIOJE,FALSE
