Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Eres,Café Tacvba,spotify:track:6kdCN6gTWLcLxmLXoUcwuI,https://open.spotify.com/track/6kdCN6gTWLcLxmLXoUcwuI,6kdCN6gTWLcLxmLXoUcwuI,FALSE
2,Chilanga Banda,Café Tacvba,spotify:track:6004tMws4nCQqtGBaInsF0,https://open.spotify.com/track/6004tMws4nCQqtGBaInsF0,6004tMws4nCQqtGBaInsF0,FALSE
3,Sábado Distrito Federal,Chava Flores,spotify:track:5lU7iS9Ie7HbZOpVbgaGRZ,https://open.spotify.com/track/5lU7iS9Ie7HbZOpVbgaGRZ,5lU7iS9Ie7HbZOpVbgaGRZ,FALSE
4,Gimme Tha Power,Molotov,spotify:track:7bN2XAxC3SN8Ie16xP6lpm,https://open.spotify.com/track/7bN2XAxC3SN8Ie16xP6lpm,7bN2XAxC3SN8Ie16xP6lpm,TRUE
5,La Célula Que Explota,Caifanes,spotify:track:5mB0MGsRfKZALHrXjnktCK,https://open.spotify.com/track/5mB0MGsRfKZALHrXjnktCK,5mB0MGsRfKZALHrXjnktCK,FALSE
6,Pachuco,Maldita Vecindad,spotify:track:5ovYwJmYcFvSvn6nRQOPyL,https://open.spotify.com/track/5ovYwJmYcFvSvn6nRQOPyL,5ovYwJmYcFvSvn6nRQOPyL,FALSE
7,Labios Rotos,Zoé,spotify:track:1nULBrlzWatdcjA2ZctIMv,https://open.spotify.com/track/1nULBrlzWatdcjA2ZctIMv,1nULBrlzWatdcjA2ZctIMv,FALSE
8,Querida,Juan Gabriel,spotify:track:5ySxlyvySBhIEvoO2xx7uT,https://open.spotify.com/track/5ySxlyvySBhIEvoO2xx7uT,5ySxlyvySBhIEvoO2xx7uT,FALSE
9,El Triste,José José,spotify:track:0aTMBEfPCCkKkneU6gLmDD,https://open.spotify.com/track/0aTMBEfPCCkKkneU6gLmDD,0aTMBEfPCCkKkneU6gLmDD,FALSE
10,Hasta la Raíz,Natalia Lafourcade,spotify:track:3lGMtkONrZdJ8kTCg6KIFf,https://open.spotify.com/track/3lGMtkONrZdJ8kTCg6KIFf,3lGMtkONrZdJ8kTCg6KIFf,FALSE
