Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,We're in This Love Together,Al Jarreau,spotify:track:1Let4BYaYSum46nAGO1i6v,https://open.spotify.com/track/1Let4BYaYSum46nAGO1i6v,1Let4BYaYSum46nAGO1i6v,FALSE
2,Gone Daddy Gone,Violent Femmes,spotify:track:7mVoBnU3mxV5Q6n4DmOv6K,https://open.spotify.com/track/7mVoBnU3mxV5Q6n4DmOv6K,7mVoBnU3mxV5Q6n4DmOv6K,FALSE
3,Fly Like an Eagle,Steve Miller Band,spotify:track:3e0FzZjTXOUtiJGSClOBrI,https://open.spotify.com/track/3e0FzZjTXOUtiJGSClOBrI,3e0FzZjTXOUtiJGSClOBrI,FALSE
4,Spend My Life with You,Eric Benét,spotify:track:58s4iqgXFzXhBndBkg2AaD,https://open.spotify.com/track/58s4iqgXFzXhBndBkg2AaD,58s4iqgXFzXhBndBkg2AaD,FALSE
5,Why Did Ever We Meet,The Promise Ring,spotify:track:2Zgc8sFzmnTGhUG8vcJ0Mj,https://open.spotify.com/track/2Zgc8sFzmnTGhUG8vcJ0Mj,2Zgc8sFzmnTGhUG8vcJ0Mj,FALSE
6,Beer Barrel Polka (Roll Out the Barrel),Frankie Yankovic,spotify:track:6c6SiWLlH6yMSoMbbGpZ1Y,https://open.spotify.com/track/6c6SiWLlH6yMSoMbbGpZ1Y,6c6SiWLlH6yMSoMbbGpZ1Y,FALSE
7,I'll Be Seeing You,Liberace,spotify:track:1wCP1omNDYfTXNNPJvxwnE,https://open.spotify.com/track/1wCP1omNDYfTXNNPJvxwnE,1wCP1omNDYfTXNNPJvxwnE,FALSE
8,My Projects,Coo Coo Cal,spotify:track:6dJZY47RgBcd7A9pSsWL6S,https://open.spotify.com/track/6dJZY47RgBcd7A9pSsWL6S,6dJZY47RgBcd7A9pSsWL6S,TRUE
9,Good Things,BoDeans,spotify:track:7pU7xdjTwZyDW1XoZpV5Dl,https://open.spotify.com/track/7pU7xdjTwZyDW1XoZpV5Dl,7pU7xdjTwZyDW1XoZpV5Dl,FALSE
10,Angry Words,Willy Porter,spotify:track:5Fp9RK8DZdinTDDtFjFY4t,https://open.spotify.com/track/5Fp9RK8DZdinTDDtFjFY4t,5Fp9RK8DZdinTDDtFjFY4t,FALSE
