Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Keep On Smilin',Wet Willie,spotify:track:6sHrxsewgTMPs2Di4x636C,https://open.spotify.com/track/6sHrxsewgTMPs2Di4x636C,6sHrxsewgTMPs2Di4x636C,FALSE
2,A Pirate Looks at Forty,Jimmy Buffett,spotify:track:6ac6RlvEhiFraIxBYHhg1j,https://open.spotify.com/track/6ac6RlvEhiFraIxBYHhg1j,6ac6RlvEhiFraIxBYHhg1j,FALSE
3,Your Cheatin' Heart,Hank Williams,spotify:track:0WwmFdGXe7Yky4T2J1oqLk,https://open.spotify.com/track/0WwmFdGXe7Yky4T2J1oqLk,0WwmFdGXe7Yky4T2J1oqLk,FALSE
4,When a Man Loves a Woman,Percy Sledge,spotify:track:51FpzuGkRYXFgsE2zXt9av,https://open.spotify.com/track/51FpzuGkRYXFgsE2zXt9av,51FpzuGkRYXFgsE2zXt9av,FALSE
5,Brick House,Commodores,spotify:track:5VJjhHyG8NZ5xdgG6uTb3P,https://open.spotify.com/track/5VJjhHyG8NZ5xdgG6uTb3P,5VJjhHyG8NZ5xdgG6uTb3P,FALSE
6,Dixieland Delight,Alabama,spotify:track:0bM1z18RQpr61UuI1LemIK,https://open.spotify.com/track/0bM1z18RQpr61UuI1LemIK,0bM1z18RQpr61UuI1LemIK,FALSE
7,Way Down in the Hole,The Blind Boys of Alabama,spotify:track:4sQw4mKiMSBvzcuUf7YAiT,https://open.spotify.com/track/4sQw4mKiMSBvzcuUf7YAiT,4sQw4mKiMSBvzcuUf7YAiT,FALSE
8,Pop the Trunk,Yelawolf,spotify:track:25G8NNFBnjXgWCGtyPa1Ax,https://open.spotify.com/track/25G8NNFBnjXgWCGtyPa1Ax,25G8NNFBnjXgWCGtyPa1Ax,TRUE
9,Saint Louis Blues,W.C. Handy,spotify:track:2ycyVPpJY8UtCecRKxESbz,https://open.spotify.com/track/2ycyVPpJY8UtCecRKxESbz,2ycyVPpJY8UtCecRKxESbz,FALSE
10,Boulder to Birmingham,Emmylou Harris,spotify:track:05XNDab0Lhitzqk7tRpOnY,https://open.spotify.com/track/05XNDab0Lhitzqk7tRpOnY,05XNDab0Lhitzqk7tRpOnY,FALSE
