Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Skandal im Sperrbezirk,Spider Murphy Gang,spotify:track:26kXONuhWX8sutaxnmcpPg,https://open.spotify.com/track/26kXONuhWX8sutaxnmcpPg,26kXONuhWX8sutaxnmcpPg,FALSE
2,I Feel Love,Donna Summer,spotify:track:1vCBk33l9HaWp5FOnhSGxk,https://open.spotify.com/track/1vCBk33l9HaWp5FOnhSGxk,1vCBk33l9HaWp5FOnhSGxk,FALSE
3,Stern des Südens,Willy Astor,spotify:track:3kXGYXG47eafc9SlNVjYlg,https://open.spotify.com/track/3kXGYXG47eafc9SlNVjYlg,3kXGYXG47eafc9SlNVjYlg,FALSE
4,Ohne Dich,Münchener Freiheit,spotify:track:7JM1dFLOa1kI5MqGnDufiY,https://open.spotify.com/track/7JM1dFLOa1kI5MqGnDufiY,7JM1dFLOa1kI5MqGnDufiY,FALSE
5,Ein Kompliment,Sportfreunde Stiller,spotify:track:5QRkWkMabF6HJmQQm2HBVX,https://open.spotify.com/track/5QRkWkMabF6HJmQQm2HBVX,5QRkWkMabF6HJmQQm2HBVX,FALSE
6,Nackert,LaBrassBanda,spotify:track:1zMejoRtwflkkJOcSJehrn,https://open.spotify.com/track/1zMejoRtwflkkJOcSJehrn,1zMejoRtwflkkJOcSJehrn,FALSE
7,Lang scho nimmer g'sehn,Haindling,spotify:track:0sBGrN7HJqauFjizieV1Pe,https://open.spotify.com/track/0sBGrN7HJqauFjizieV1Pe,0sBGrN7HJqauFjizieV1Pe,FALSE
8,Wo bist du?,Spider Murphy Gang,spotify:track:2ZuxVpXFUAEWpRRxlNXInA,https://open.spotify.com/track/2ZuxVpXFUAEWpRRxlNXInA,2ZuxVpXFUAEWpRRxlNXInA,FALSE
9,Willy,Konstantin Wecker,spotify:track:0LhPqURDsPk6O6TWVp08q3,https://open.spotify.com/track/0LhPqURDsPk6O6TWVp08q3,0LhPqURDsPk6O6TWVp08q3,FALSE
10,Bayern,Die Toten Hosen,spotify:track:6aOFZj1pYOyugpR27UN1A4,https://open.spotify.com/track/6aOFZj1pYOyugpR27UN1A4,6aOFZj1pYOyugpR27UN1A4,FALSE
