Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,"Theme from New York, New York",Frank Sinatra,spotify:track:0K2WjMLZYr09LKwurGRYRE,https://open.spotify.com/track/0K2WjMLZYr09LKwurGRYRE,0K2WjMLZYr09LKwurGRYRE,FALSE
2,Empire State of Mind,JAY-Z,spotify:track:2igwFfvr1OAGX9SKDCPBwO,https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO,2igwFfvr1OAGX9SKDCPBwO,TRUE
3,New York State of Mind,Billy Joel,spotify:track:6yjKlmm7vOszkXEUku1EM1,https://open.spotify.com/track/6yjKlmm7vOszkXEUku1EM1,6yjKlmm7vOszkXEUku1EM1,FALSE
4,I'm Waiting for the Man,The Velvet Underground,spotify:track:3fElupNRLRJ0tbUDahPrAb,https://open.spotify.com/track/3fElupNRLRJ0tbUDahPrAb,3fElupNRLRJ0tbUDahPrAb,FALSE
5,No Sleep till Brooklyn,Beastie Boys,spotify:track:5qxChyzKLEyoPJ5qGrdurN,https://open.spotify.com/track/5qxChyzKLEyoPJ5qGrdurN,5qxChyzKLEyoPJ5qGrdurN,TRUE
6,The Only Living Boy in New York,Simon & Garfunkel,spotify:track:5MbXzXGbqobR8xPVPs8OXA,https://open.spotify.com/track/5MbXzXGbqobR8xPVPs8OXA,5MbXzXGbqobR8xPVPs8OXA,FALSE
7,"New York, I Love You but You're Bringing Me Down",LCD Soundsystem,spotify:track:5rAff9XfcWx7rguN3t0fkW,https://open.spotify.com/track/5rAff9XfcWx7rguN3t0fkW,5rAff9XfcWx7rguN3t0fkW,FALSE
8,N.Y. State of Mind,Nas,spotify:track:0trHOzAhNpGCsGBEu7dOJo,https://open.spotify.com/track/0trHOzAhNpGCsGBEu7dOJo,0trHOzAhNpGCsGBEu7dOJo,TRUE
9,The Message,Grandmaster Flash and the Furious Five,spotify:track:32X0tTPXoWYNld9y1RRbFI,https://open.spotify.com/track/32X0tTPXoWYNld9y1RRbFI,32X0tTPXoWYNld9y1RRbFI,FALSE
10,Sheena Is a Punk Rocker,Ramones,spotify:track:61MZN0yyMWSEwrLPUUGfgJ,https://open.spotify.com/track/61MZN0yyMWSEwrLPUUGfgJ,61MZN0yyMWSEwrLPUUGfgJ,FALSE
