Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Streets of Philadelphia,Bruce Springsteen,spotify:track:3fbnbn6A5O5RNb08tlUEgd,https://open.spotify.com/track/3fbnbn6A5O5RNb08tlUEgd,3fbnbn6A5O5RNb08tlUEgd,FALSE
2,Motownphilly,Boyz II Men,spotify:track:4LxIGAVfcQIw0zAQRyFhU8,https://open.spotify.com/track/4LxIGAVfcQIw0zAQRyFhU8,4LxIGAVfcQIw0zAQRyFhU8,FALSE
3,She's Gone,Daryl Hall & John Oates,spotify:track:5dFoWIiJ2814hRwMYDcFiU,https://open.spotify.com/track/5dFoWIiJ2814hRwMYDcFiU,5dFoWIiJ2814hRwMYDcFiU,FALSE
4,Back Stabbers,The O'Jays,spotify:track:0KpMY3D2G8253VTZbDBUmA,https://open.spotify.com/track/0KpMY3D2G8253VTZbDBUmA,0KpMY3D2G8253VTZbDBUmA,FALSE
5,Dreams and Nightmares,Meek Mill,spotify:track:42zd6DYQ4o4SECmTITrM1U,https://open.spotify.com/track/42zd6DYQ4o4SECmTITrM1U,42zd6DYQ4o4SECmTITrM1U,TRUE
6,Gonna Fly Now (Theme from Rocky),Bill Conti,spotify:track:7iXYRR70wewzVYzWScm99j,https://open.spotify.com/track/7iXYRR70wewzVYzWScm99j,7iXYRR70wewzVYzWScm99j,FALSE
7,"Fly, Eagles Fly",Philadelphia Eagles,spotify:track:2Ng9RDWD3rLUeeHjxyP1Dl,https://open.spotify.com/track/2Ng9RDWD3rLUeeHjxyP1Dl,2Ng9RDWD3rLUeeHjxyP1Dl,FALSE
8,You Got Me,The Roots,spotify:track:4pdLZsxq0y5oJDb6Cxlokw,https://open.spotify.com/track/4pdLZsxq0y5oJDb6Cxlokw,4pdLZsxq0y5oJDb6Cxlokw,TRUE
9,Lady Marmalade,Patti LaBelle,spotify:track:3GGcwG519BTMdvMeFy7meT,https://open.spotify.com/track/3GGcwG519BTMdvMeFy7meT,3GGcwG519BTMdvMeFy7meT,FALSE
10,The Twist,Chubby Checker,spotify:track:4YCnTYbq3oL1Lqpyxg33CU,https://open.spotify.com/track/4YCnTYbq3oL1Lqpyxg33CU,4YCnTYbq3oL1Lqpyxg33CU,FALSE
