Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Rebel-Rouser,Duane Eddy,spotify:track:6V7rqryzTEmHHIvIPFuGSR,https://open.spotify.com/track/6V7rqryzTEmHHIvIPFuGSR,6V7rqryzTEmHHIvIPFuGSR,FALSE
2,Everywhere,Michelle Branch,spotify:track:1u0l8zWpQeMYStFkc2mLD7,https://open.spotify.com/track/1u0l8zWpQeMYStFkc2mLD7,1u0l8zWpQeMYStFkc2mLD7,FALSE
3,What Was I Thinkin',Dierks Bentley,spotify:track:0r8iDf65NHgFgZOGLwj5r8,https://open.spotify.com/track/0r8iDf65NHgFgZOGLwj5r8,0r8iDf65NHgFgZOGLwj5r8,FALSE
4,Numb,Linkin Park,spotify:track:2nLtzopw4rPReszdYBJU6h,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,2nLtzopw4rPReszdYBJU6h,FALSE
5,Girls Do What They Want,The Maine,spotify:track:3nOjVAn9ohlCATDl1040v6,https://open.spotify.com/track/3nOjVAn9ohlCATDl1040v6,3nOjVAn9ohlCATDl1040v6,FALSE
6,No Air,Jordin Sparks,spotify:track:1jUA4rb6ZCv4gby4YU53xq,https://open.spotify.com/track/1jUA4rb6ZCv4gby4YU53xq,1jUA4rb6ZCv4gby4YU53xq,FALSE
7,Found Out About You,Gin Blossoms,spotify:track:5WmDRnuGYo31xrWNDcYaps,https://open.spotify.com/track/5WmDRnuGYo31xrWNDcYaps,5WmDRnuGYo31xrWNDcYaps,FALSE
8,Sweetness,Jimmy Eat World,spotify:track:429IbFR4yp2J81CeTwF5iY,https://open.spotify.com/track/429IbFR4yp2J81CeTwF5iY,429IbFR4yp2J81CeTwF5iY,FALSE
9,Landslide,Stevie Nicks,spotify:track:5fprEY6WEN1wvFXkgfb22C,https://open.spotify.com/track/5fprEY6WEN1wvFXkgfb22C,5fprEY6WEN1wvFXkgfb22C,FALSE
10,I'm Eighteen,Alice Cooper,spotify:track:3YU9X8ryOR20beT7wOlDIJ,https://open.spotify.com/track/3YU9X8ryOR20beT7wOlDIJ,3YU9X8ryOR20beT7wOlDIJ,FALSE
