Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,'74-'75,The Connells,spotify:track:2MAVcVr2oylw2OZ3hojWYj,https://open.spotify.com/track/2MAVcVr2oylw2OZ3hojWYj,2MAVcVr2oylw2OZ3hojWYj,FALSE
2,Slack Motherf***er,Superchunk,spotify:track:4yJV8K7gH8mUgOJCAz8GeN,https://open.spotify.com/track/4yJV8K7gH8mUgOJCAz8GeN,4yJV8K7gH8mUgOJCAz8GeN,FALSE
3,16 Days,Whiskeytown,spotify:track:3aFMz2anc9vurZw6bPunI6,https://open.spotify.com/track/3aFMz2anc9vurZw6bPunI6,3aFMz2anc9vurZw6bPunI6,FALSE
4,Albatross,Corrosion of Conformity,spotify:track:3CtKSQyQPdzA2u7n9tjJw2,https://open.spotify.com/track/3CtKSQyQPdzA2u7n9tjJw2,3CtKSQyQPdzA2u7n9tjJw2,FALSE
5,Coffee,Sylvan Esso,spotify:track:3P29hVmGN5muYZH8SSZTXb,https://open.spotify.com/track/3P29hVmGN5muYZH8SSZTXb,3P29hVmGN5muYZH8SSZTXb,FALSE
6,Bottom of the River,Delta Rae,spotify:track:2LzyUfJdRp3uqTrITBJXEY,https://open.spotify.com/track/2LzyUfJdRp3uqTrITBJXEY,2LzyUfJdRp3uqTrITBJXEY,FALSE
7,Lovin' It,Little Brother,spotify:track:6piDHcH0vdPWzIg2uU2q3K,https://open.spotify.com/track/6piDHcH0vdPWzIg2uU2q3K,6piDHcH0vdPWzIg2uU2q3K,TRUE
8,"New York, New York",Ryan Adams,spotify:track:4snBTILMGyRKErKygwoDkE,https://open.spotify.com/track/4snBTILMGyRKErKygwoDkE,4snBTILMGyRKErKygwoDkE,FALSE
9,Black and White,The dB's,spotify:track:3DZK5RJDika23eg6USz39X,https://open.spotify.com/track/3DZK5RJDika23eg6USz39X,3DZK5RJDika23eg6USz39X,FALSE
10,Sassy,Rapsody,spotify:track:13thLit2vmo1qePjSFP01c,https://open.spotify.com/track/13thLit2vmo1qePjSFP01c,13thLit2vmo1qePjSFP01c,TRUE
