Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,The Distance,Cake,spotify:track:0fsz7tJ7UKXT9hliLfO7aE,https://open.spotify.com/track/0fsz7tJ7UKXT9hliLfO7aE,0fsz7tJ7UKXT9hliLfO7aE,FALSE
2,Change (In the House of Flies),Deftones,spotify:track:51c94ac31swyDQj9B3Lzs3,https://open.spotify.com/track/51c94ac31swyDQj9B3Lzs3,51c94ac31swyDQj9B3Lzs3,FALSE
3,Love Song,Tesla,spotify:track:0vJUdIefT5caKla9H8b1q4,https://open.spotify.com/track/0vJUdIefT5caKla9H8b1q4,0vJUdIefT5caKla9H8b1q4,FALSE
4,Last Resort,Papa Roach,spotify:track:5W8YXBz9MTIDyrpYaCg2Ky,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky,5W8YXBz9MTIDyrpYaCg2Ky,TRUE
5,Get Got,Death Grips,spotify:track:781V2Y5LPtcpgONEOadadE,https://open.spotify.com/track/781V2Y5LPtcpgONEOadadE,781V2Y5LPtcpgONEOadadE,TRUE
6,Peach Scone,Hobo Johnson,spotify:track:4Pj5nvdDibE3sgflD87J2i,https://open.spotify.com/track/4Pj5nvdDibE3sgflD87J2i,4Pj5nvdDibE3sgflD87J2i,TRUE
7,Why I'm Here,Oleander,spotify:track:0hgOGzUYKKQbQcWDoJpM6H,https://open.spotify.com/track/0hgOGzUYKKQbQcWDoJpM6H,0hgOGzUYKKQbQcWDoJpM6H,FALSE
8,Feral Love,Chelsea Wolfe,spotify:track:7j2exhvPCgzRQT9Hs6AAJ8,https://open.spotify.com/track/7j2exhvPCgzRQT9Hs6AAJ8,7j2exhvPCgzRQT9Hs6AAJ8,FALSE
9,Gone Wanderin',Jackie Greene,spotify:track:1zgM9dniAiLC4TVCIVFqkK,https://open.spotify.com/track/1zgM9dniAiLC4TVCIVFqkK,1zgM9dniAiLC4TVCIVFqkK,FALSE
10,Never There,Cake,spotify:track:6kflOxQnjJNEDWt5jigmtu,https://open.spotify.com/track/6kflOxQnjJNEDWt5jigmtu,6kflOxQnjJNEDWt5jigmtu,FALSE
