Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Lights,Journey,spotify:track:7EHmKkyAr6MZv5Y2FdZbXw,https://open.spotify.com/track/7EHmKkyAr6MZv5Y2FdZbXw,7EHmKkyAr6MZv5Y2FdZbXw,FALSE
2,San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,spotify:track:6UsdldEfcEXSID2G3nA89J,https://open.spotify.com/track/6UsdldEfcEXSID2G3nA89J,6UsdldEfcEXSID2G3nA89J,FALSE
3,I Left My Heart in San Francisco,Tony Bennett,spotify:track:1bYItjcPRtxZs6Ir71O5RB,https://open.spotify.com/track/1bYItjcPRtxZs6Ir71O5RB,1bYItjcPRtxZs6Ir71O5RB,FALSE
4,Somebody to Love,Jefferson Airplane,spotify:track:6EnLJOBR4dF0EYUfx2YHLH,https://open.spotify.com/track/6EnLJOBR4dF0EYUfx2YHLH,6EnLJOBR4dF0EYUfx2YHLH,FALSE
5,Truckin',Grateful Dead,spotify:track:1I6l01BaBgBCVkfQCpIlR6,https://open.spotify.com/track/1I6l01BaBgBCVkfQCpIlR6,1I6l01BaBgBCVkfQCpIlR6,FALSE
6,(Sittin' On) The Dock of the Bay,Otis Redding,spotify:track:3zBhihYUHBmGd2bcQIobrF,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF,3zBhihYUHBmGd2bcQIobrF,FALSE
7,Black Magic Woman,Santana,spotify:track:4nmne9J3YCEdhvjTzwiAgu,https://open.spotify.com/track/4nmne9J3YCEdhvjTzwiAgu,4nmne9J3YCEdhvjTzwiAgu,FALSE
8,Everyday People,Sly & the Family Stone,spotify:track:4ZVZBc5xvMyV3WzWktn8i7,https://open.spotify.com/track/4ZVZBc5xvMyV3WzWktn8i7,4ZVZBc5xvMyV3WzWktn8i7,FALSE
9,Wicked Game,Chris Isaak,spotify:track:5l91KHr9uF8wdSdtRoZba8,https://open.spotify.com/track/5l91KHr9uF8wdSdtRoZba8,5l91KHr9uF8wdSdtRoZba8,FALSE
10,Proud Mary,Creedence Clearwater Revival,spotify:track:2EZc13S7YRi6bTS3SKteRN,https://open.spotify.com/track/2EZc13S7YRi6bTS3SKteRN,2EZc13S7YRi6bTS3SKteRN,FALSE
