Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Moon River,Johnny Mercer,spotify:track:1NZ8QZ8MJBAAgADNNCO08u,https://open.spotify.com/track/1NZ8QZ8MJBAAgADNNCO08u,1NZ8QZ8MJBAAgADNNCO08u,FALSE
2,Come Rain or Come Shine,Johnny Mercer,spotify:track:2YgW6WfwU6OtGQSERl9Br3,https://open.spotify.com/track/2YgW6WfwU6OtGQSERl9Br3,2YgW6WfwU6OtGQSERl9Br3,FALSE
3,Jeepers Creepers,Johnny Mercer,spotify:track:28KXQLEPkY0iBerSfj9a38,https://open.spotify.com/track/28KXQLEPkY0iBerSfj9a38,28KXQLEPkY0iBerSfj9a38,FALSE
4,Take My Bones Away,Baroness,spotify:track:1yibGVA3FlGySYObOkMdzc,https://open.spotify.com/track/1yibGVA3FlGySYObOkMdzc,1yibGVA3FlGySYObOkMdzc,FALSE
5,Unknown Awareness,Kylesa,spotify:track:050aFGs0IUl3t8o9iqzh5L,https://open.spotify.com/track/050aFGs0IUl3t8o9iqzh5L,050aFGs0IUl3t8o9iqzh5L,FALSE
6,Set the Dial,Black Tusk,spotify:track:30iHjpjJhrTtNlVPmCIUPL,https://open.spotify.com/track/30iHjpjJhrTtNlVPmCIUPL,30iHjpjJhrTtNlVPmCIUPL,FALSE
7,Midnight Rider,The Allman Brothers Band,spotify:track:1hHGUdFaiJHw9hVZGJWYO2,https://open.spotify.com/track/1hHGUdFaiJHw9hVZGJWYO2,1hHGUdFaiJHw9hVZGJWYO2,FALSE
8,Georgia on My Mind,Willie Nelson,spotify:track:5GOFil3Umfp4yB75U2Ah4e,https://open.spotify.com/track/5GOFil3Umfp4yB75U2Ah4e,5GOFil3Umfp4yB75U2Ah4e,FALSE
9,Golden,Cusses,spotify:track:5LnXh8dAQ5lo37LUfOkXQC,https://open.spotify.com/track/5LnXh8dAQ5lo37LUfOkXQC,5LnXh8dAQ5lo37LUfOkXQC,FALSE
10,Chlorine & Wine,Baroness,spotify:track:0fJnK99YFKmYq8stfSeirV,https://open.spotify.com/track/0fJnK99YFKmYq8stfSeirV,0fJnK99YFKmYq8stfSeirV,FALSE
