Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Smells Like Teen Spirit,Nirvana,spotify:track:75aLTVBSGIquqzQ6AkmK3Q,https://open.spotify.com/track/75aLTVBSGIquqzQ6AkmK3Q,75aLTVBSGIquqzQ6AkmK3Q,FALSE
2,Even Flow,Pearl Jam,spotify:track:2I5xw33KFW0srf9sDtaAh8,https://open.spotify.com/track/2I5xw33KFW0srf9sDtaAh8,2I5xw33KFW0srf9sDtaAh8,FALSE
3,Black Hole Sun,Soundgarden,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,https://open.spotify.com/track/2EoOZnxNgtmZaD8uUmz2nD,2EoOZnxNgtmZaD8uUmz2nD,FALSE
4,Would?,Alice in Chains,spotify:track:28kObNFRLVjnB0sw4K4W8I,https://open.spotify.com/track/28kObNFRLVjnB0sw4K4W8I,28kObNFRLVjnB0sw4K4W8I,FALSE
5,Purple Haze,Jimi Hendrix,spotify:track:0wJoRiX5K5BxlqZTolB2LD,https://open.spotify.com/track/0wJoRiX5K5BxlqZTolB2LD,0wJoRiX5K5BxlqZTolB2LD,FALSE
6,Barracuda,Heart,spotify:track:4KfSdst7rW39C0sfhArdrz,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz,4KfSdst7rW39C0sfhArdrz,FALSE
7,Can't Hold Us,Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn,FALSE
8,Baby Got Back,Sir Mix-a-Lot,spotify:track:4vvOv6MDFFPpEb1gwwb2ZD,https://open.spotify.com/track/4vvOv6MDFFPpEb1gwwb2ZD,4vvOv6MDFFPpEb1gwwb2ZD,TRUE
9,Float On,Modest Mouse,spotify:track:2lwwrWVKdf3LR9lbbhnr6R,https://open.spotify.com/track/2lwwrWVKdf3LR9lbbhnr6R,2lwwrWVKdf3LR9lbbhnr6R,FALSE
10,Soul Meets Body,Death Cab for Cutie,spotify:track:5yc59J3MR3tVDPTOgwgRI5,https://open.spotify.com/track/5yc59J3MR3tVDPTOgwgRI5,5yc59J3MR3tVDPTOgwgRI5,FALSE
