Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,American Girl,Tom Petty and the Heartbreakers,spotify:track:7MRyJPksH3G2cXHN8UKYzP,https://open.spotify.com/track/7MRyJPksH3G2cXHN8UKYzP,7MRyJPksH3G2cXHN8UKYzP,FALSE
2,Slowly We Rot,Obituary,spotify:track:5F6ZrWLngDICyjazxM1gNq,https://open.spotify.com/track/5F6ZrWLngDICyjazxM1gNq,5F6ZrWLngDICyjazxM1gNq,FALSE
3,Pull the Plug,Death,spotify:track:2l0h4aBFLp9HdoaNdCTlbW,https://open.spotify.com/track/2l0h4aBFLp9HdoaNdCTlbW,2l0h4aBFLp9HdoaNdCTlbW,FALSE
4,Homage for Satan,Deicide,spotify:track:5mYlI12Gf0egAuUc8RRryZ,https://open.spotify.com/track/5mYlI12Gf0egAuUc8RRryZ,5mYlI12Gf0egAuUc8RRryZ,TRUE
5,The Science of Selling Yourself Short,Less Than Jake,spotify:track:1iD0a0plhO55cWEJa5UGcZ,https://open.spotify.com/track/1iD0a0plhO55cWEJa5UGcZ,1iD0a0plhO55cWEJa5UGcZ,FALSE
6,Standing at the End of the World,"Have Gun, Will Travel",spotify:track:7cRxwJceoEj6i03gK47HI3,https://open.spotify.com/track/7cRxwJceoEj6i03gK47HI3,7cRxwJceoEj6i03gK47HI3,FALSE
7,3 AM,Matchbox Twenty,spotify:track:5vYA1mW9g2Coh1HUFUSmlb,https://open.spotify.com/track/5vYA1mW9g2Coh1HUFUSmlb,5vYA1mW9g2Coh1HUFUSmlb,FALSE
8,Higher,Creed,spotify:track:1e5grnGb7YIcX9EuJM1mtB,https://open.spotify.com/track/1e5grnGb7YIcX9EuJM1mtB,1e5grnGb7YIcX9EuJM1mtB,FALSE
9,All for You,Sister Hazel,spotify:track:32EgSULHML6Gu1hRm4zgtU,https://open.spotify.com/track/32EgSULHML6Gu1hRm4zgtU,32EgSULHML6Gu1hRm4zgtU,FALSE
10,God of Emptiness,Morbid Angel,spotify:track:3uJs4qtUVsC22seQBDjvlS,https://open.spotify.com/track/3uJs4qtUVsC22seQBDjvlS,3uJs4qtUVsC22seQBDjvlS,FALSE
