Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Started from the Bottom,Drake,spotify:track:5DI9jxTHrEiFAhStG7VA8E,https://open.spotify.com/track/5DI9jxTHrEiFAhStG7VA8E,5DI9jxTHrEiFAhStG7VA8E,TRUE
2,Blinding Lights,The Weeknd,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b,FALSE
3,Tom Sawyer,Rush,spotify:track:3QZ7uX97s82HFYSmQUAN1D,https://open.spotify.com/track/3QZ7uX97s82HFYSmQUAN1D,3QZ7uX97s82HFYSmQUAN1D,FALSE
4,Heart of Gold,Neil Young,spotify:track:2PtznJ8G7F1fsOABk9pXIr,https://open.spotify.com/track/2PtznJ8G7F1fsOABk9pXIr,2PtznJ8G7F1fsOABk9pXIr,FALSE
5,One Week,Barenaked Ladies,spotify:track:29hBRadFZf9QTGRHZmxm65,https://open.spotify.com/track/29hBRadFZf9QTGRHZmxm65,29hBRadFZf9QTGRHZmxm65,FALSE
6,Sundown,Gordon Lightfoot,spotify:track:6TtHJEDNzpk0mxVNQ0ZKiM,https://open.spotify.com/track/6TtHJEDNzpk0mxVNQ0ZKiM,6TtHJEDNzpk0mxVNQ0ZKiM,FALSE
7,Stitches,Shawn Mendes,spotify:track:1HwyDbq8WBt6VWYUbrOl5T,https://open.spotify.com/track/1HwyDbq8WBt6VWYUbrOl5T,1HwyDbq8WBt6VWYUbrOl5T,FALSE
8,Anthems for a Seventeen Year-Old Girl,Broken Social Scene,spotify:track:0pjqB2r8MZmoADC0Ca80B5,https://open.spotify.com/track/0pjqB2r8MZmoADC0Ca80B5,0pjqB2r8MZmoADC0Ca80B5,FALSE
9,Help I'm Alive,Metric,spotify:track:2MZFDXi7QL79yANYhA3ShB,https://open.spotify.com/track/2MZFDXi7QL79yANYhA3ShB,2MZFDXi7QL79yANYhA3ShB,FALSE
10,OK Blue Jays,The Bat Boys,spotify:track:4U1qkR28vdOGOmNSDiwqJA,https://open.spotify.com/track/4U1qkR28vdOGOmNSDiwqJA,4U1qkR28vdOGOmNSDiwqJA,FALSE
