Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Yea Alabama (Fight Song),University of Alabama,spotify:track:070IE4DubO3kFi2OXFC1x6,https://open.spotify.com/track/070IE4DubO3kFi2OXFC1x6,070IE4DubO3kFi2OXFC1x6,FALSE
2,Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:7e89621JPkKaeDSTQ3avtg,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,7e89621JPkKaeDSTQ3avtg,FALSE
3,Mountain Music,Alabama,spotify:track:4ZgnqSpDabJpMQ4Obc6YGf,https://open.spotify.com/track/4ZgnqSpDabJpMQ4Obc6YGf,4ZgnqSpDabJpMQ4Obc6YGf,FALSE
4,Let There Be Rock,Drive-By Truckers,spotify:track:4YhPkibXbcCcksAOUVB5uY,https://open.spotify.com/track/4YhPkibXbcCcksAOUVB5uY,4YhPkibXbcCcksAOUVB5uY,FALSE
5,Alabama Pines,Jason Isbell,spotify:track:4mBYupeEa1e5Ep2HU7xToZ,https://open.spotify.com/track/4mBYupeEa1e5Ep2HU7xToZ,4mBYupeEa1e5Ep2HU7xToZ,FALSE
6,Call Me,St. Paul & The Broken Bones,spotify:track:1RmJJPvyMSszOQHJ4s03A2,https://open.spotify.com/track/1RmJJPvyMSszOQHJ4s03A2,1RmJJPvyMSszOQHJ4s03A2,FALSE
7,Mustang Sally,Wilson Pickett,spotify:track:5Sz09kaSzvpTC8lgm5W8Mt,https://open.spotify.com/track/5Sz09kaSzvpTC8lgm5W8Mt,5Sz09kaSzvpTC8lgm5W8Mt,FALSE
8,I Saw the Light,Hank Williams,spotify:track:04bsExZXrwoRXYKKDWlTIU,https://open.spotify.com/track/04bsExZXrwoRXYKKDWlTIU,04bsExZXrwoRXYKKDWlTIU,FALSE
9,My Home's in Alabama,Alabama,spotify:track:2n30sydydHW1w0M4UNiUvi,https://open.spotify.com/track/2n30sydydHW1w0M4UNiUvi,2n30sydydHW1w0M4UNiUvi,FALSE
10,Red Dirt Girl,Emmylou Harris,spotify:track:6I5eFZDHx6BWKztvq30AHH,https://open.spotify.com/track/6I5eFZDHx6BWKztvq30AHH,6I5eFZDHx6BWKztvq30AHH,FALSE
