Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Youngstown,Bruce Springsteen,spotify:track:4oiTnmTrJNDAsOPgEONYpA,https://open.spotify.com/track/4oiTnmTrJNDAsOPgEONYpA,4oiTnmTrJNDAsOPgEONYpA,FALSE
2,Nobody but Me,The Human Beinz,spotify:track:4QkvD53COA5qLA7rQ1Pa7D,https://open.spotify.com/track/4QkvD53COA5qLA7rQ1Pa7D,4QkvD53COA5qLA7rQ1Pa7D,FALSE
3,My Hero,Foo Fighters,spotify:track:7u5dBtASrtOuBTTZjJrvuJ,https://open.spotify.com/track/7u5dBtASrtOuBTTZjJrvuJ,7u5dBtASrtOuBTTZjJrvuJ,FALSE
4,My City Was Gone,The Pretenders,spotify:track:3CTxcImER2VN4xGVF4mJCV,https://open.spotify.com/track/3CTxcImER2VN4xGVF4mJCV,3CTxcImER2VN4xGVF4mJCV,FALSE
5,Love Rollercoaster,Ohio Players,spotify:track:1hRDHWWealh2Pk3fnpIe75,https://open.spotify.com/track/1hRDHWWealh2Pk3fnpIe75,1hRDHWWealh2Pk3fnpIe75,FALSE
6,Walk Away,The James Gang,spotify:track:65aeHyw8GdHFwmEvdSns21,https://open.spotify.com/track/65aeHyw8GdHFwmEvdSns21,65aeHyw8GdHFwmEvdSns21,FALSE
7,Whip It,Devo,spotify:track:4sscDOZCkbLSlDqcCgUJnX,https://open.spotify.com/track/4sscDOZCkbLSlDqcCgUJnX,4sscDOZCkbLSlDqcCgUJnX,FALSE
8,Brass in Pocket,The Pretenders,spotify:track:3C8btmBZo8scrLRUUPTOCF,https://open.spotify.com/track/3C8btmBZo8scrLRUUPTOCF,3C8btmBZo8scrLRUUPTOCF,FALSE
9,Closer,Nine Inch Nails,spotify:track:2oDqmfa2g8W893LlwJG1qu,https://open.spotify.com/track/2oDqmfa2g8W893LlwJG1qu,2oDqmfa2g8W893LlwJG1qu,TRUE
10,Tighten Up,The Black Keys,spotify:track:2MVwrvjmcdt4MsYYLCYMt8,https://open.spotify.com/track/2MVwrvjmcdt4MsYYLCYMt8,2MVwrvjmcdt4MsYYLCYMt8,FALSE
