Playlist,Playlist Slug,City,Track Count,CSV File,URI List File,M3U8 File
Atlanta Soundtrack,atlanta,"Atlanta, Georgia",10,csv/01-atlanta-soundtrack.csv,spotify-uri-lists/01-atlanta-soundtrack.txt,m3u8/01-atlanta-soundtrack.m3u8
Austin Soundtrack,austin,"Austin, Texas",10,csv/02-austin-soundtrack.csv,spotify-uri-lists/02-austin-soundtrack.txt,m3u8/02-austin-soundtrack.m3u8
Baltimore Soundtrack,baltimore,"Baltimore, Maryland",10,csv/03-baltimore-soundtrack.csv,spotify-uri-lists/03-baltimore-soundtrack.txt,m3u8/03-baltimore-soundtrack.m3u8
Baton Rouge Soundtrack,baton-rouge,"Baton Rouge, Louisiana",10,csv/04-baton-rouge-soundtrack.csv,spotify-uri-lists/04-baton-rouge-soundtrack.txt,m3u8/04-baton-rouge-soundtrack.m3u8
Biloxi Soundtrack,biloxi,"Biloxi, Mississippi",10,csv/05-biloxi-soundtrack.csv,spotify-uri-lists/05-biloxi-soundtrack.txt,m3u8/05-biloxi-soundtrack.m3u8
Boston Soundtrack,boston,"Boston, Massachusetts",10,csv/06-boston-soundtrack.csv,spotify-uri-lists/06-boston-soundtrack.txt,m3u8/06-boston-soundtrack.m3u8
Buffalo Soundtrack,buffalo,"Buffalo, New York",10,csv/07-buffalo-soundtrack.csv,spotify-uri-lists/07-buffalo-soundtrack.txt,m3u8/07-buffalo-soundtrack.m3u8
Charlotte Soundtrack,charlotte,"Charlotte, North Carolina",10,csv/08-charlotte-soundtrack.csv,spotify-uri-lists/08-charlotte-soundtrack.txt,m3u8/08-charlotte-soundtrack.m3u8
Chicago Soundtrack,chicago,"Chicago, Illinois",10,csv/09-chicago-soundtrack.csv,spotify-uri-lists/09-chicago-soundtrack.txt,m3u8/09-chicago-soundtrack.m3u8
Cincinnati Soundtrack,cincinnati,"Cincinnati, Ohio",10,csv/10-cincinnati-soundtrack.csv,spotify-uri-lists/10-cincinnati-soundtrack.txt,m3u8/10-cincinnati-soundtrack.m3u8
Cleveland Soundtrack,cleveland,"Cleveland, Ohio",10,csv/11-cleveland-soundtrack.csv,spotify-uri-lists/11-cleveland-soundtrack.txt,m3u8/11-cleveland-soundtrack.m3u8
Corpus Christi Soundtrack,corpus-christi,"Corpus Christi, Texas",10,csv/12-corpus-christi-soundtrack.csv,spotify-uri-lists/12-corpus-christi-soundtrack.txt,m3u8/12-corpus-christi-soundtrack.m3u8
Dallas Soundtrack,dallas,"Dallas, Texas",10,csv/13-dallas-soundtrack.csv,spotify-uri-lists/13-dallas-soundtrack.txt,m3u8/13-dallas-soundtrack.m3u8
Dearborn Soundtrack,dearborn,"Dearborn, Michigan",10,csv/14-dearborn-soundtrack.csv,spotify-uri-lists/14-dearborn-soundtrack.txt,m3u8/14-dearborn-soundtrack.m3u8
Denver Soundtrack,denver,"Denver, Colorado",10,csv/15-denver-soundtrack.csv,spotify-uri-lists/15-denver-soundtrack.txt,m3u8/15-denver-soundtrack.m3u8
Detroit Soundtrack,detroit,"Detroit, Michigan",12,csv/16-detroit-soundtrack.csv,spotify-uri-lists/16-detroit-soundtrack.txt,m3u8/16-detroit-soundtrack.m3u8
