Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,On the Road Again,Willie Nelson,spotify:track:2GyH5rvdnfkjzsTFaWrrov,https://open.spotify.com/track/2GyH5rvdnfkjzsTFaWrrov,2GyH5rvdnfkjzsTFaWrrov,FALSE
2,Pride and Joy,Stevie Ray Vaughan & Double Trouble,spotify:track:1a2iF9XymafjRk56q7oCxo,https://open.spotify.com/track/1a2iF9XymafjRk56q7oCxo,1a2iF9XymafjRk56q7oCxo,FALSE
3,London Homesick Blues,Gary P. Nunn,spotify:track:1dYfAlWi4BstUJhcOYdxnv,https://open.spotify.com/track/1dYfAlWi4BstUJhcOYdxnv,1dYfAlWi4BstUJhcOYdxnv,FALSE
4,The Way We Get By,Spoon,spotify:track:2k6TManBkFAweRUCH6jYny,https://open.spotify.com/track/2k6TManBkFAweRUCH6jYny,2k6TManBkFAweRUCH6jYny,FALSE
5,Miles and Miles of Texas,Asleep at the Wheel,spotify:track:1ErD8sVTiF7OwO7pVI0NtT,https://open.spotify.com/track/1ErD8sVTiF7OwO7pVI0NtT,1ErD8sVTiF7OwO7pVI0NtT,FALSE
6,Dearly Departed,Shakey Graves,spotify:track:0QeoO5Y3EtKstiq5a18tUW,https://open.spotify.com/track/0QeoO5Y3EtKstiq5a18tUW,0QeoO5Y3EtKstiq5a18tUW,FALSE
7,Bright Lights,Gary Clark Jr.,spotify:track:5nlAKJhde77caBJIHMfDcV,https://open.spotify.com/track/5nlAKJhde77caBJIHMfDcV,5nlAKJhde77caBJIHMfDcV,FALSE
8,Your Hand in Mine,Explosions in the Sky,spotify:track:3HBcQ5GenzAlBhCIgDGL3x,https://open.spotify.com/track/3HBcQ5GenzAlBhCIgDGL3x,3HBcQ5GenzAlBhCIgDGL3x,FALSE
9,Deep in the Heart of Texas,Bob Wills & His Texas Playboys,spotify:track:0ffyVQF2aTbWA47q3Gtvc6,https://open.spotify.com/track/0ffyVQF2aTbWA47q3Gtvc6,0ffyVQF2aTbWA47q3Gtvc6,FALSE
10,Young Men Dead,The Black Angels,spotify:track:2C7CRmiNGiyO8TSgAZwA2X,https://open.spotify.com/track/2C7CRmiNGiyO8TSgAZwA2X,2C7CRmiNGiyO8TSgAZwA2X,FALSE
11,Texas Flood,Stevie Ray Vaughan & Double Trouble,spotify:track:5MtN38MGEWJt60LwtBmFNP,https://open.spotify.com/track/5MtN38MGEWJt60LwtBmFNP,5MtN38MGEWJt60LwtBmFNP,FALSE
12,If I Had a Boat,Lyle Lovett,spotify:track:3yLvJxOSeM1HIxOwxOyTQe,https://open.spotify.com/track/3yLvJxOSeM1HIxOwxOyTQe,3yLvJxOSeM1HIxOwxOyTQe,FALSE
