Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Callin' Baton Rouge,Garth Brooks,spotify:track:5uuCtZf9KTxS84i5hFxmQP,https://open.spotify.com/track/5uuCtZf9KTxS84i5hFxmQP,5uuCtZf9KTxS84i5hFxmQP,FALSE
2,Good,Better Than Ezra,spotify:track:0ttHpMs250dpFkCYAnuhnE,https://open.spotify.com/track/0ttHpMs250dpFkCYAnuhnE,0ttHpMs250dpFkCYAnuhnE,FALSE
3,Wipe Me Down,Boosie Badazz,spotify:track:1csF3mqDAQ33FuLJhV4ESS,https://open.spotify.com/track/1csF3mqDAQ33FuLJhV4ESS,1csF3mqDAQ33FuLJhV4ESS,TRUE
4,2 Phones,Kevin Gates,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,https://open.spotify.com/track/0wdKiSBUT7aZkXUIdJWcwC,0wdKiSBUT7aZkXUIdJWcwC,TRUE
5,Outside Today,YoungBoy Never Broke Again,spotify:track:3sA7HKGzcKTVscdiTCrWpX,https://open.spotify.com/track/3sA7HKGzcKTVscdiTCrWpX,3sA7HKGzcKTVscdiTCrWpX,TRUE
6,Baby Scratch My Back,Slim Harpo,spotify:track:2IygpAGpJMr45ngOGHaTsJ,https://open.spotify.com/track/2IygpAGpJMr45ngOGHaTsJ,2IygpAGpJMr45ngOGHaTsJ,FALSE
7,Hey Fighting Tigers,Better Than Ezra,spotify:track:2DnAch2kvKVN4Z4FShFapD,https://open.spotify.com/track/2DnAch2kvKVN4Z4FShFapD,2DnAch2kvKVN4Z4FShFapD,FALSE
8,Ya Ya,Buckwheat Zydeco,spotify:track:7xg0mUp7k1Q2ncW5PkmTx0,https://open.spotify.com/track/7xg0mUp7k1Q2ncW5PkmTx0,7xg0mUp7k1Q2ncW5PkmTx0,FALSE
9,Louisiana 1927,Randy Newman,spotify:track:7qLEaxMiR8WUsCG1uOBsuO,https://open.spotify.com/track/7qLEaxMiR8WUsCG1uOBsuO,7qLEaxMiR8WUsCG1uOBsuO,FALSE
10,Really Really,Kevin Gates,spotify:track:10I3CmmwT0BkOVhduDy53o,https://open.spotify.com/track/10I3CmmwT0BkOVhduDy53o,10I3CmmwT0BkOVhduDy53o,TRUE
11,Set It Off,Boosie Badazz,spotify:track:3qLgWZabS3bEZyKTjPbq5V,https://open.spotify.com/track/3qLgWZabS3bEZyKTjPbq5V,3qLgWZabS3bEZyKTjPbq5V,TRUE
12,Independent,Webbie,spotify:track:7xE2uGhtRZQg8QwnqHbL7x,https://open.spotify.com/track/7xE2uGhtRZQg8QwnqHbL7x,7xE2uGhtRZQg8QwnqHbL7x,TRUE
