Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Biloxi,Jesse Winchester,spotify:track:3cufrc21549dsUJ3k6cnY7,https://open.spotify.com/track/3cufrc21549dsUJ3k6cnY7,3cufrc21549dsUJ3k6cnY7,FALSE
2,Margaritaville,Jimmy Buffett,spotify:track:4EEjMyQub6tgFVshlM9j1M,https://open.spotify.com/track/4EEjMyQub6tgFVshlM9j1M,4EEjMyQub6tgFVshlM9j1M,FALSE
3,Kryptonite,3 Doors Down,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,6ZOBP3NvffbU4SZcrnt1k6,FALSE
4,The Thrill Is Gone,B.B. King,spotify:track:4NQfrmGs9iQXVQI9IpRhjM,https://open.spotify.com/track/4NQfrmGs9iQXVQI9IpRhjM,4NQfrmGs9iQXVQI9IpRhjM,FALSE
5,Mannish Boy,Muddy Waters,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://open.spotify.com/track/58PSYdY0GFg0LFb2PxYk4T,58PSYdY0GFg0LFb2PxYk4T,FALSE
6,Cross Road Blues,Robert Johnson,spotify:track:1TrGdXSgiBm8W68D2K1COG,https://open.spotify.com/track/1TrGdXSgiBm8W68D2K1COG,1TrGdXSgiBm8W68D2K1COG,FALSE
7,Kiss an Angel Good Mornin',Charley Pride,spotify:track:37GWhu8R61gTStMvVQfDuE,https://open.spotify.com/track/37GWhu8R61gTStMvVQfDuE,37GWhu8R61gTStMvVQfDuE,FALSE
8,Mississippi Girl,Faith Hill,spotify:track:79YeQbd1p7MsuT7wHQLRYY,https://open.spotify.com/track/79YeQbd1p7MsuT7wHQLRYY,79YeQbd1p7MsuT7wHQLRYY,FALSE
9,That's All Right,Elvis Presley,spotify:track:0tHcXWIYt99GY8BONrPIfA,https://open.spotify.com/track/0tHcXWIYt99GY8BONrPIfA,0tHcXWIYt99GY8BONrPIfA,FALSE
10,Come Monday,Jimmy Buffett,spotify:track:0yje3JVMgJNZENayymCTHA,https://open.spotify.com/track/0yje3JVMgJNZENayymCTHA,0yje3JVMgJNZENayymCTHA,FALSE
11,Ode To Billie Joe,Bobbie Gentry,spotify:track:11LmYwC2xZk8X1jdJ9snkI,https://open.spotify.com/track/11LmYwC2xZk8X1jdJ9snkI,11LmYwC2xZk8X1jdJ9snkI,FALSE
12,Down in Mississippi (Up to No Good),Sugarland,spotify:track:3ARWtAeseGVeGo3zW6hrtC,https://open.spotify.com/track/3ARWtAeseGVeGo3zW6hrtC,3ARWtAeseGVeGo3zW6hrtC,FALSE
