Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Iris,Goo Goo Dolls,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,6Qyc6fS4DsZjB2mRW9DsQs,FALSE
2,Shout,The Isley Brothers,spotify:track:06u2CAJZndymUuruReCYlt,https://open.spotify.com/track/06u2CAJZndymUuruReCYlt,06u2CAJZndymUuruReCYlt,FALSE
3,Super Freak,Rick James,spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca,https://open.spotify.com/track/2dCmGcEOQrMQhMMS8Vj7Ca,2dCmGcEOQrMQhMMS8Vj7Ca,FALSE
4,32 Flavors,Ani DiFranco,spotify:track:0b4R0H3ah51OjUo2rXtA1j,https://open.spotify.com/track/0b4R0H3ah51OjUo2rXtA1j,0b4R0H3ah51OjUo2rXtA1j,FALSE
5,Name,Goo Goo Dolls,spotify:track:1G8jae4jD8mwkXdodqHsBM,https://open.spotify.com/track/1G8jae4jD8mwkXdodqHsBM,1G8jae4jD8mwkXdodqHsBM,FALSE
6,These Are Days,"10,000 Maniacs",spotify:track:786h4kDeZiX5nYvOwA3wtE,https://open.spotify.com/track/786h4kDeZiX5nYvOwA3wtE,786h4kDeZiX5nYvOwA3wtE,FALSE
7,Give It to Me Baby,Rick James,spotify:track:13v3siPyvy5TTEZYmGPPse,https://open.spotify.com/track/13v3siPyvy5TTEZYmGPPse,13v3siPyvy5TTEZYmGPPse,FALSE
8,Morning Dance,Spyro Gyra,spotify:track:7oTaBk0IrTeO7dKlUIn1k1,https://open.spotify.com/track/7oTaBk0IrTeO7dKlUIn1k1,7oTaBk0IrTeO7dKlUIn1k1,FALSE
9,Slide,Goo Goo Dolls,spotify:track:0nnwn7LWHCAu09jfuH1xTA,https://open.spotify.com/track/0nnwn7LWHCAu09jfuH1xTA,0nnwn7LWHCAu09jfuH1xTA,FALSE
10,Mary Jane Girls - All Night Long,Mary Jane Girls,spotify:track:2c98vEsnBCnpCIzd43LDtE,https://open.spotify.com/track/2c98vEsnBCnpCIzd43LDtE,2c98vEsnBCnpCIzd43LDtE,FALSE
11,Because the Night,"10,000 Maniacs",spotify:track:6huiPMSVAPyAFJBXFbE1r6,https://open.spotify.com/track/6huiPMSVAPyAFJBXFbE1r6,6huiPMSVAPyAFJBXFbE1r6,FALSE
12,Napoleon,Ani DiFranco,spotify:track:42jXEYGFOEHQrfHlOHIkyo,https://open.spotify.com/track/42jXEYGFOEHQrfHlOHIkyo,42jXEYGFOEHQrfHlOHIkyo,FALSE
