Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Raise Up,Petey Pablo,spotify:track:02GwPAncasVL82yC7y2hmN,https://open.spotify.com/track/02GwPAncasVL82yC7y2hmN,02GwPAncasVL82yC7y2hmN,TRUE
2,Suge,DaBaby,spotify:track:2gwkD6igEhQbDQegRCcdoB,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2gwkD6igEhQbDQegRCcdoB,TRUE
3,Charlene,Anthony Hamilton,spotify:track:0xiuSFBOEHWaJ6rSuUbJWc,https://open.spotify.com/track/0xiuSFBOEHWaJ6rSuUbJWc,0xiuSFBOEHWaJ6rSuUbJWc,FALSE
4,Carolina in My Mind,James Taylor,spotify:track:2T5Ch09nefwckOu5NQvjIk,https://open.spotify.com/track/2T5Ch09nefwckOu5NQvjIk,2T5Ch09nefwckOu5NQvjIk,FALSE
5,Live and Die,The Avett Brothers,spotify:track:19n9s9SfnLtwPEODqk8KCT,https://open.spotify.com/track/19n9s9SfnLtwPEODqk8KCT,19n9s9SfnLtwPEODqk8KCT,FALSE
6,Brick,Ben Folds Five,spotify:track:4jKq1e80xAYixkIwt6YyV1,https://open.spotify.com/track/4jKq1e80xAYixkIwt6YyV1,4jKq1e80xAYixkIwt6YyV1,FALSE
7,I Believe,Fantasia,spotify:track:2zZJnAlhgvW6DERn1tu3fb,https://open.spotify.com/track/2zZJnAlhgvW6DERn1tu3fb,2zZJnAlhgvW6DERn1tu3fb,FALSE
8,Springsteen,Eric Church,spotify:track:05ZACkzW8YbRq3eFgIfSNB,https://open.spotify.com/track/05ZACkzW8YbRq3eFgIfSNB,05ZACkzW8YbRq3eFgIfSNB,FALSE
9,Work Out,J. Cole,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO,2wAJTrFhCnQyNSD3oUgTZO,TRUE
10,Rockstar,DaBaby,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,7ytR5pFWmSjzHJIeQkgog4,TRUE
11,Carolina Girls,General Johnson & The Chairmen of the Board,spotify:track:0D32hNha5Ek63derp2N2a7,https://open.spotify.com/track/0D32hNha5Ek63derp2N2a7,0D32hNha5Ek63derp2N2a7,FALSE
12,She Knows,J. Cole,spotify:track:0Fs9cdPDhptWEDJmiCbkEW,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW,0Fs9cdPDhptWEDJmiCbkEW,TRUE
