Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Cleveland Rocks,Ian Hunter,spotify:track:42p68rsESQSbYX5AlJ1CDS,https://open.spotify.com/track/42p68rsESQSbYX5AlJ1CDS,42p68rsESQSbYX5AlJ1CDS,FALSE
2,Love Train,The O'Jays,spotify:track:28285KFbyCq8sJofn58qlD,https://open.spotify.com/track/28285KFbyCq8sJofn58qlD,28285KFbyCq8sJofn58qlD,FALSE
3,Tha Crossroads,Bone Thugs-N-Harmony,spotify:track:5KSJ9k1FYjFLnIRlJT2wF8,https://open.spotify.com/track/5KSJ9k1FYjFLnIRlJT2wF8,5KSJ9k1FYjFLnIRlJT2wF8,TRUE
4,Day 'n' Nite,Kid Cudi,spotify:track:5FEXPoPnzueFJQCPRIrC3c,https://open.spotify.com/track/5FEXPoPnzueFJQCPRIrC3c,5FEXPoPnzueFJQCPRIrC3c,FALSE
5,Head Like a Hole,Nine Inch Nails,spotify:track:3ckd4YA4LcD3j50rfIVwUe,https://open.spotify.com/track/3ckd4YA4LcD3j50rfIVwUe,3ckd4YA4LcD3j50rfIVwUe,FALSE
6,Bad Things,Machine Gun Kelly,spotify:track:1PSBzsahR2AKwLJgx8ehBj,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,1PSBzsahR2AKwLJgx8ehBj,FALSE
7,Fast Car,Tracy Chapman,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo,2M9ro2krNb7nr7HSprkEgo,FALSE
8,Funk #49,The James Gang,spotify:track:5h6SovHOYpIMlAkafxcbq3,https://open.spotify.com/track/5h6SovHOYpIMlAkafxcbq3,5h6SovHOYpIMlAkafxcbq3,FALSE
9,My Town,Michael Stanley Band,spotify:track:3zh6c0CVMcBdIdXfN5wDLM,https://open.spotify.com/track/3zh6c0CVMcBdIdXfN5wDLM,3zh6c0CVMcBdIdXfN5wDLM,FALSE
10,Lonely Boy,The Black Keys,spotify:track:5G1sTBGbZT5o4PNRc75RKI,https://open.spotify.com/track/5G1sTBGbZT5o4PNRc75RKI,5G1sTBGbZT5o4PNRc75RKI,FALSE
11,Cleveland Is the City,Bone Thugs-N-Harmony,spotify:track:0VMxcPp2M1GWlCZujdAT6f,https://open.spotify.com/track/0VMxcPp2M1GWlCZujdAT6f,0VMxcPp2M1GWlCZujdAT6f,TRUE
12,Pursuit Of Happiness,Kid Cudi,spotify:track:5iSEsR6NKjlC9SrIJkyL3k,https://open.spotify.com/track/5iSEsR6NKjlC9SrIJkyL3k,5iSEsR6NKjlC9SrIJkyL3k,TRUE
