Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Bidi Bidi Bom Bom,Selena,spotify:track:08rj3keDexxAbhXnRM86ri,https://open.spotify.com/track/08rj3keDexxAbhXnRM86ri,08rj3keDexxAbhXnRM86ri,FALSE
2,Como La Flor,Selena,spotify:track:5ubqSAc9LxUS2CsMHcA4kF,https://open.spotify.com/track/5ubqSAc9LxUS2CsMHcA4kF,5ubqSAc9LxUS2CsMHcA4kF,FALSE
3,Amor Prohibido,Selena,spotify:track:2cjiRQZu9V17rJZkvMuT1J,https://open.spotify.com/track/2cjiRQZu9V17rJZkvMuT1J,2cjiRQZu9V17rJZkvMuT1J,FALSE
4,Dreaming of You,Selena,spotify:track:5EL8hqM8YQJHKKnzGdahly,https://open.spotify.com/track/5EL8hqM8YQJHKKnzGdahly,5EL8hqM8YQJHKKnzGdahly,FALSE
5,Wasted Days and Wasted Nights,Freddy Fender,spotify:track:3xPer22ZLDCRQtb6Z03ykt,https://open.spotify.com/track/3xPer22ZLDCRQtb6Z03ykt,3xPer22ZLDCRQtb6Z03ykt,FALSE
6,Heaven,Los Lonely Boys,spotify:track:1XcUn5PE9d42zWamWgRG2x,https://open.spotify.com/track/1XcUn5PE9d42zWamWgRG2x,1XcUn5PE9d42zWamWgRG2x,FALSE
7,Las Nubes,Little Joe y La Familia,spotify:track:4LXLt8uRpPJ1RrKXKLX9Sy,https://open.spotify.com/track/4LXLt8uRpPJ1RrKXKLX9Sy,4LXLt8uRpPJ1RrKXKLX9Sy,FALSE
8,Ay Te Dejo en San Antonio,Flaco Jiménez,spotify:track:7lFFgni4XpRY2bGV7qeH2q,https://open.spotify.com/track/7lFFgni4XpRY2bGV7qeH2q,7lFFgni4XpRY2bGV7qeH2q,FALSE
9,Baila Esta Cumbia,Selena,spotify:track:3lFGBrRWUxpTfhhq6lGBRw,https://open.spotify.com/track/3lFGBrRWUxpTfhhq6lGBRw,3lFGBrRWUxpTfhhq6lGBRw,FALSE
10,Vida,La Mafia,spotify:track:6i8KuACD15eZ84THZaG19i,https://open.spotify.com/track/6i8KuACD15eZ84THZaG19i,6i8KuACD15eZ84THZaG19i,FALSE
11,No Me Queda Más,Selena,spotify:track:2stxwFkmW2kZ6SuyJGO5q8,https://open.spotify.com/track/2stxwFkmW2kZ6SuyJGO5q8,2stxwFkmW2kZ6SuyJGO5q8,FALSE
12,Before the Next Teardrop Falls,Freddy Fender,spotify:track:2SVW5774QbmEjWfbHOEnz3,https://open.spotify.com/track/2SVW5774QbmEjWfbHOEnz3,2SVW5774QbmEjWfbHOEnz3,FALSE
