Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Making Thunderbirds,Bob Seger,spotify:track:6sNVZlgavv4aIE4l4YJ3s5,https://open.spotify.com/track/6sNVZlgavv4aIE4l4YJ3s5,6sNVZlgavv4aIE4l4YJ3s5,FALSE
2,Night Moves,Bob Seger & The Silver Bullet Band,spotify:track:6UBjSnyP1O5W5ndJoO9vUk,https://open.spotify.com/track/6UBjSnyP1O5W5ndJoO9vUk,6UBjSnyP1O5W5ndJoO9vUk,FALSE
3,Seven Nation Army,The White Stripes,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,3dPQuX8Gs42Y7b454ybpMR,FALSE
4,School's Out,Alice Cooper,spotify:track:5Z8EDau8uNcP1E8JvmfkZe,https://open.spotify.com/track/5Z8EDau8uNcP1E8JvmfkZe,5Z8EDau8uNcP1E8JvmfkZe,FALSE
5,Stranglehold,Ted Nugent,spotify:track:2f0P7iELCvAlV8j6Z3rGDE,https://open.spotify.com/track/2f0P7iELCvAlV8j6Z3rGDE,2f0P7iELCvAlV8j6Z3rGDE,FALSE
6,Kick Out the Jams,MC5,spotify:track:3EsIAGUcwXzcQBk53A27FS,https://open.spotify.com/track/3EsIAGUcwXzcQBk53A27FS,3EsIAGUcwXzcQBk53A27FS,TRUE
7,I Wanna Be Your Dog,The Stooges,spotify:track:672N8DGGTOLCOgWe0koX5g,https://open.spotify.com/track/672N8DGGTOLCOgWe0koX5g,672N8DGGTOLCOgWe0koX5g,FALSE
8,We're an American Band,Grand Funk Railroad,spotify:track:3XcjIvaZVUFAIdIYZqY9bd,https://open.spotify.com/track/3XcjIvaZVUFAIdIYZqY9bd,3XcjIvaZVUFAIdIYZqY9bd,FALSE
9,Bawitdaba,Kid Rock,spotify:track:0f37VQs969vZUL4gVfHRV9,https://open.spotify.com/track/0f37VQs969vZUL4gVfHRV9,0f37VQs969vZUL4gVfHRV9,TRUE
10,Devil with a Blue Dress On,Mitch Ryder & The Detroit Wheels,spotify:track:0GiCLkY3c6sJ7kSvHQDGZS,https://open.spotify.com/track/0GiCLkY3c6sJ7kSvHQDGZS,0GiCLkY3c6sJ7kSvHQDGZS,FALSE
11,The Tears Of A Clown,Smokey Robinson & The Miracles,spotify:track:4Dq749x2QP6OXTURJ9GGY8,https://open.spotify.com/track/4Dq749x2QP6OXTURJ9GGY8,4Dq749x2QP6OXTURJ9GGY8,FALSE
12,Dancing In The Street,Martha Reeves & The Vandellas,spotify:track:6rLqjzGV5VMLDWEnuUqi8q,https://open.spotify.com/track/6rLqjzGV5VMLDWEnuUqi8q,6rLqjzGV5VMLDWEnuUqi8q,FALSE
