Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,What's Going On,Marvin Gaye,spotify:track:3Um9toULmYFGCpvaIPFw7l,https://open.spotify.com/track/3Um9toULmYFGCpvaIPFw7l,3Um9toULmYFGCpvaIPFw7l,FALSE
2,My Girl,The Temptations,spotify:track:745H5CctFr12Mo7cqa1BMH,https://open.spotify.com/track/745H5CctFr12Mo7cqa1BMH,745H5CctFr12Mo7cqa1BMH,FALSE
3,Lose Yourself,Eminem,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,5Z01UMMf7V1o0MzF86s6WJ,TRUE
4,Respect,Aretha Franklin,spotify:track:7s25THrKz86DM225dOYwnr,https://open.spotify.com/track/7s25THrKz86DM225dOYwnr,7s25THrKz86DM225dOYwnr,FALSE
5,Superstition,Stevie Wonder,spotify:track:4N0TP4Rmj6QQezWV88ARNJ,https://open.spotify.com/track/4N0TP4Rmj6QQezWV88ARNJ,4N0TP4Rmj6QQezWV88ARNJ,FALSE
6,You Can't Hurry Love,The Supremes,spotify:track:1OppEieGNdItZbE14gLBEv,https://open.spotify.com/track/1OppEieGNdItZbE14gLBEv,1OppEieGNdItZbE14gLBEv,FALSE
7,Detroit vs. Everybody,Eminem,spotify:track:1yerfHilTHLEsJaH7bEn4K,https://open.spotify.com/track/1yerfHilTHLEsJaH7bEn4K,1yerfHilTHLEsJaH7bEn4K,TRUE
8,Old Time Rock and Roll,Bob Seger & The Silver Bullet Band,spotify:track:5EOoMWIB9iK4ZpcSex9Ec7,https://open.spotify.com/track/5EOoMWIB9iK4ZpcSex9Ec7,5EOoMWIB9iK4ZpcSex9Ec7,FALSE
9,The Tears of a Clown,Smokey Robinson & The Miracles,spotify:track:4Dq749x2QP6OXTURJ9GGY8,https://open.spotify.com/track/4Dq749x2QP6OXTURJ9GGY8,4Dq749x2QP6OXTURJ9GGY8,FALSE
10,Reach Out I'll Be There,Four Tops,spotify:track:6Pkj4nv5K53i64cLVgkVyY,https://open.spotify.com/track/6Pkj4nv5K53i64cLVgkVyY,6Pkj4nv5K53i64cLVgkVyY,FALSE
11,Detroit Rock City,KISS,spotify:track:4DmBwHmp0FVO6NJ9QfH2w2,https://open.spotify.com/track/4DmBwHmp0FVO6NJ9QfH2w2,4DmBwHmp0FVO6NJ9QfH2w2,FALSE
12,Seven Nation Army,The White Stripes,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,3dPQuX8Gs42Y7b454ybpMR,FALSE
