Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,El Paso,Marty Robbins,spotify:track:4f8hBeMXMvssn6HtFAtblo,https://open.spotify.com/track/4f8hBeMXMvssn6HtFAtblo,4f8hBeMXMvssn6HtFAtblo,FALSE
2,Hey Jealousy,Gin Blossoms,spotify:track:4o7ZPI2fmEi3piRe0Hrfpy,https://open.spotify.com/track/4o7ZPI2fmEi3piRe0Hrfpy,4o7ZPI2fmEi3piRe0Hrfpy,FALSE
3,The Middle,Jimmy Eat World,spotify:track:6GG73Jik4jUlQCkKg9JuGO,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO,6GG73Jik4jUlQCkKg9JuGO,FALSE
4,Poison,Alice Cooper,spotify:track:5XcZRgJv3zMhTqCyESjQrF,https://open.spotify.com/track/5XcZRgJv3zMhTqCyESjQrF,5XcZRgJv3zMhTqCyESjQrF,FALSE
5,Backwater,Meat Puppets,spotify:track:3KZVWVH4epY2JGaqRs8bqg,https://open.spotify.com/track/3KZVWVH4epY2JGaqRs8bqg,3KZVWVH4epY2JGaqRs8bqg,FALSE
6,Edge of Seventeen,Stevie Nicks,spotify:track:2id8E4WvczfKHB4LHI7Np3,https://open.spotify.com/track/2id8E4WvczfKHB4LHI7Np3,2id8E4WvczfKHB4LHI7Np3,FALSE
7,The First Single (You Know Me),The Format,spotify:track:38tpawuPzka8PZjo1V9RUE,https://open.spotify.com/track/38tpawuPzka8PZjo1V9RUE,38tpawuPzka8PZjo1V9RUE,FALSE
8,Green and Dumb,Roger Clyne & The Peacemakers,spotify:track:3kzQgrK3fRfQSOlqa9mYYf,https://open.spotify.com/track/3kzQgrK3fRfQSOlqa9mYYf,3kzQgrK3fRfQSOlqa9mYYf,FALSE
9,Over Seasons,Authority Zero,spotify:track:7szxifMiAXPrK3wOdDpMdd,https://open.spotify.com/track/7szxifMiAXPrK3wOdDpMdd,7szxifMiAXPrK3wOdDpMdd,FALSE
10,In the End,Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,60a0Rd6pjrkxjPbaKzXjfq,FALSE
11,Mesa Town,Authority Zero,spotify:track:74dtoU44ONxD94L10ECcYI,https://open.spotify.com/track/74dtoU44ONxD94L10ECcYI,74dtoU44ONxD94L10ECcYI,FALSE
12,Pain,Jimmy Eat World,spotify:track:0mDPsk2H7wpzzdADAKmoHs,https://open.spotify.com/track/0mDPsk2H7wpzzdADAKmoHs,0mDPsk2H7wpzzdADAKmoHs,FALSE
