Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Bang the Drum All Day,Todd Rundgren,spotify:track:54EvqHberbpzMu7nu8hs9S,https://open.spotify.com/track/54EvqHberbpzMu7nu8hs9S,54EvqHberbpzMu7nu8hs9S,FALSE
2,Go! You Packers! Go!,Green Bay Packers,spotify:track:7GSHIEg5t37QSiRzbKv9ZL,https://open.spotify.com/track/7GSHIEg5t37QSiRzbKv9ZL,7GSHIEg5t37QSiRzbKv9ZL,FALSE
3,Closer to Free,BoDeans,spotify:track:4j2Xkx947eebgeZQBw6pEQ,https://open.spotify.com/track/4j2Xkx947eebgeZQBw6pEQ,4j2Xkx947eebgeZQBw6pEQ,FALSE
4,Skinny Love,Bon Iver,spotify:track:3B3eOgLJSqPEA0RfboIQVM,https://open.spotify.com/track/3B3eOgLJSqPEA0RfboIQVM,3B3eOgLJSqPEA0RfboIQVM,FALSE
5,Blister in the Sun,Violent Femmes,spotify:track:7jIAttgQTpLDoNtykIQXjH,https://open.spotify.com/track/7jIAttgQTpLDoNtykIQXjH,7jIAttgQTpLDoNtykIQXjH,FALSE
6,Only Happy When It Rains,Garbage,spotify:track:23Llyuevgg4Dt5vNdZcEEf,https://open.spotify.com/track/23Llyuevgg4Dt5vNdZcEEf,23Llyuevgg4Dt5vNdZcEEf,FALSE
7,The Joker,Steve Miller Band,spotify:track:1bp2IO61zbQrbWNmKKxg3f,https://open.spotify.com/track/1bp2IO61zbQrbWNmKKxg3f,1bp2IO61zbQrbWNmKKxg3f,FALSE
8,How High the Moon,Les Paul & Mary Ford,spotify:track:0onHzLoj8yQbjbHtJzwjBx,https://open.spotify.com/track/0onHzLoj8yQbjbHtJzwjBx,0onHzLoj8yQbjbHtJzwjBx,FALSE
9,Fadeaway,BoDeans,spotify:track:5pIqZXPYPgaDvY60zuXPKB,https://open.spotify.com/track/5pIqZXPYPgaDvY60zuXPKB,5pIqZXPYPgaDvY60zuXPKB,FALSE
10,Add It Up,Violent Femmes,spotify:track:61QW3AcU1jm5ttPOn8eZhn,https://open.spotify.com/track/61QW3AcU1jm5ttPOn8eZhn,61QW3AcU1jm5ttPOn8eZhn,TRUE
11,Beer Barrel Polka (Roll Out The Barrel),Frankie Yankovic,spotify:track:0FxQ0t5BNRzqLaJO9hRor6,https://open.spotify.com/track/0FxQ0t5BNRzqLaJO9hRor6,0FxQ0t5BNRzqLaJO9hRor6,FALSE
12,Jump Around,House Of Pain,spotify:track:3TZwjdclvWt7iPJUnMpgcs,https://open.spotify.com/track/3TZwjdclvWt7iPJUnMpgcs,3TZwjdclvWt7iPJUnMpgcs,FALSE
