Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,La Grange,ZZ Top,spotify:track:0u6JFVn0KHHlidZxNL9gVE,https://open.spotify.com/track/0u6JFVn0KHHlidZxNL9gVE,0u6JFVn0KHHlidZxNL9gVE,FALSE
2,Love on Top,Beyoncé,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,https://open.spotify.com/track/1z6WtY7X4HQJvzxC4UgkSf,1z6WtY7X4HQJvzxC4UgkSf,FALSE
3,Mind Playing Tricks on Me,Geto Boys,spotify:track:4j3sD1EcYquM2ltqNH19ec,https://open.spotify.com/track/4j3sD1EcYquM2ltqNH19ec,4j3sD1EcYquM2ltqNH19ec,TRUE
4,Still Tippin',Mike Jones,spotify:track:59rtiYOPgMEDf3yPEfU2la,https://open.spotify.com/track/59rtiYOPgMEDf3yPEfU2la,59rtiYOPgMEDf3yPEfU2la,TRUE
5,Say My Name,Destiny's Child,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk,7H6ev70Weq6DdpZyyTmUXk,FALSE
6,SICKO MODE,Travis Scott,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,TRUE
7,Sittin' Sidewayz,Paul Wall,spotify:track:24PWKmemCvqfyVXODhoKHW,https://open.spotify.com/track/24PWKmemCvqfyVXODhoKHW,24PWKmemCvqfyVXODhoKHW,TRUE
8,Tighten Up,Archie Bell & The Drells,spotify:track:6IIcvtmuGpWIasqOpyGlyY,https://open.spotify.com/track/6IIcvtmuGpWIasqOpyGlyY,6IIcvtmuGpWIasqOpyGlyY,FALSE
9,Mojo Hand,Lightnin' Hopkins,spotify:track:41s9iG3fTuu32yBnmDLCcZ,https://open.spotify.com/track/41s9iG3fTuu32yBnmDLCcZ,41s9iG3fTuu32yBnmDLCcZ,FALSE
10,Int'l Players Anthem (I Choose You),UGK,spotify:track:4ns1XFP3W5JPyzvnAjMdHD,https://open.spotify.com/track/4ns1XFP3W5JPyzvnAjMdHD,4ns1XFP3W5JPyzvnAjMdHD,TRUE
11,Savage Remix,Megan Thee Stallion,spotify:track:5v4GgrXPMghOnBBLmveLac,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,5v4GgrXPMghOnBBLmveLac,TRUE
12,25 Lighters,DJ DMD,spotify:track:5tlrEiYWEl0fsa6OFoV5EI,https://open.spotify.com/track/5tlrEiYWEl0fsa6OFoV5EI,5tlrEiYWEl0fsa6OFoV5EI,TRUE
