Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Back Home Again in Indiana,Louis Armstrong,spotify:track:35XgLVf5kMyuIbiZoAQnxE,https://open.spotify.com/track/35XgLVf5kMyuIbiZoAQnxE,35XgLVf5kMyuIbiZoAQnxE,FALSE
2,Small Town,John Mellencamp,spotify:track:2HsjJJL4DhPCzMlnaGv7ap,https://open.spotify.com/track/2HsjJJL4DhPCzMlnaGv7ap,2HsjJJL4DhPCzMlnaGv7ap,FALSE
3,I Want You Back,The Jackson 5,spotify:track:5LxvwujISqiB8vpRYv887S,https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S,5LxvwujISqiB8vpRYv887S,FALSE
4,When Can I See You,Babyface,spotify:track:2zItQNJrVrTioXTXWiI2ed,https://open.spotify.com/track/2zItQNJrVrTioXTXWiI2ed,2zItQNJrVrTioXTXWiI2ed,FALSE
5,Jack & Diane,John Mellencamp,spotify:track:6xrdxmGZnnpScIck7YxCnd,https://open.spotify.com/track/6xrdxmGZnnpScIck7YxCnd,6xrdxmGZnnpScIck7YxCnd,FALSE
6,Bumpin' on Sunset,Wes Montgomery,spotify:track:1yxJK6q9oymWO3vjbPCYmp,https://open.spotify.com/track/1yxJK6q9oymWO3vjbPCYmp,1yxJK6q9oymWO3vjbPCYmp,FALSE
7,ABC,The Jackson 5,spotify:track:6D8kc7RO0rqBLSo2YPflJ5,https://open.spotify.com/track/6D8kc7RO0rqBLSo2YPflJ5,6D8kc7RO0rqBLSo2YPflJ5,FALSE
8,Thuggin',Freddie Gibbs,spotify:track:6m192NGYZHIbO5UBkkM4oN,https://open.spotify.com/track/6m192NGYZHIbO5UBkkM4oN,6m192NGYZHIbO5UBkkM4oN,TRUE
9,Night and Day,Cole Porter,spotify:track:23ObhfKJdLVJstWbIkkuwT,https://open.spotify.com/track/23ObhfKJdLVJstWbIkkuwT,23ObhfKJdLVJstWbIkkuwT,FALSE
10,Paradise City,Guns N' Roses,spotify:track:6eN1f9KNmiWEhpE2RhQqB5,https://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5,6eN1f9KNmiWEhpE2RhQqB5,FALSE
11,Indianapolis,The Bottle Rockets,spotify:track:4EkS5HOycsEvjFplRrFiON,https://open.spotify.com/track/4EkS5HOycsEvjFplRrFiON,4EkS5HOycsEvjFplRrFiON,FALSE
12,Indiana Wants Me,R. Dean Taylor,spotify:track:5CYSByEFdwdrqGIGaq4f3x,https://open.spotify.com/track/5CYSByEFdwdrqGIGaq4f3x,5CYSByEFdwdrqGIGaq4f3x,FALSE
