Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,London Calling,The Clash,spotify:track:124Y9LPRCAz3q2OP0iCvcJ,https://open.spotify.com/track/124Y9LPRCAz3q2OP0iCvcJ,124Y9LPRCAz3q2OP0iCvcJ,FALSE
2,Waterloo Sunset,The Kinks,spotify:track:3G0EALIIp5DAeIERxXBHmo,https://open.spotify.com/track/3G0EALIIp5DAeIERxXBHmo,3G0EALIIp5DAeIERxXBHmo,FALSE
3,Streets of London,Ralph McTell,spotify:track:2zwH1NlxBEpzVlvzXNHQso,https://open.spotify.com/track/2zwH1NlxBEpzVlvzXNHQso,2zwH1NlxBEpzVlvzXNHQso,FALSE
4,Down in the Tube Station at Midnight,The Jam,spotify:track:6tix2R9ovEBCCzDofs2DyT,https://open.spotify.com/track/6tix2R9ovEBCCzDofs2DyT,6tix2R9ovEBCCzDofs2DyT,FALSE
5,LDN,Lily Allen,spotify:track:48T3AtfhOgz3euMEO2Z4hS,https://open.spotify.com/track/48T3AtfhOgz3euMEO2Z4hS,48T3AtfhOgz3euMEO2Z4hS,FALSE
6,Werewolves of London,Warren Zevon,spotify:track:6kotXaSQaGYxE62hVpdHWu,https://open.spotify.com/track/6kotXaSQaGYxE62hVpdHWu,6kotXaSQaGYxE62hVpdHWu,FALSE
7,Up the Junction,Squeeze,spotify:track:1zU0kAJdEPyRs4x5gkQQER,https://open.spotify.com/track/1zU0kAJdEPyRs4x5gkQQER,1zU0kAJdEPyRs4x5gkQQER,FALSE
8,Parklife,Blur,spotify:track:3mqRLlD9j92BBv1ueFhJ1l,https://open.spotify.com/track/3mqRLlD9j92BBv1ueFhJ1l,3mqRLlD9j92BBv1ueFhJ1l,FALSE
9,Hometown Glory,Adele,spotify:track:3rWRug4G3BjW33bxFwrEr9,https://open.spotify.com/track/3rWRug4G3BjW33bxFwrEr9,3rWRug4G3BjW33bxFwrEr9,FALSE
10,Play with Fire,The Rolling Stones,spotify:track:30V02AmDYMRvrHE4L8cZAo,https://open.spotify.com/track/30V02AmDYMRvrHE4L8cZAo,30V02AmDYMRvrHE4L8cZAo,FALSE
11,London Girl,The Pogues,spotify:track:5AlSfGcN88eiTLWAT5EwS3,https://open.spotify.com/track/5AlSfGcN88eiTLWAT5EwS3,5AlSfGcN88eiTLWAT5EwS3,FALSE
12,West End Girls,Pet Shop Boys,spotify:track:5Dqik1P9toCJTLj5rEm78s,https://open.spotify.com/track/5Dqik1P9toCJTLj5rEm78s,5Dqik1P9toCJTLj5rEm78s,FALSE
