Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Miami,Will Smith,spotify:track:6e8Ou0wiqAzIpWb2eSxll8,https://open.spotify.com/track/6e8Ou0wiqAzIpWb2eSxll8,6e8Ou0wiqAzIpWb2eSxll8,FALSE
2,Conga,Gloria Estefan & Miami Sound Machine,spotify:track:53pZ8y3yMYUNpclGwIufu0,https://open.spotify.com/track/53pZ8y3yMYUNpclGwIufu0,53pZ8y3yMYUNpclGwIufu0,FALSE
3,Bad Boy,Miami Sound Machine,spotify:track:5AM6VOkN7ficA2O04f5JG1,https://open.spotify.com/track/5AM6VOkN7ficA2O04f5JG1,5AM6VOkN7ficA2O04f5JG1,FALSE
4,Give Me Everything,Pitbull,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W,4QNpBfC0zvjKqPJcyqBy9W,FALSE
5,That's the Way (I Like It),KC and the Sunshine Band,spotify:track:1qiQduM84A0VeH8Y2uAbqi,https://open.spotify.com/track/1qiQduM84A0VeH8Y2uAbqi,1qiQduM84A0VeH8Y2uAbqi,FALSE
6,La Vida Es Un Carnaval,Celia Cruz,spotify:track:1BwrMGGhPA6GarWIYaFrW8,https://open.spotify.com/track/1BwrMGGhPA6GarWIYaFrW8,1BwrMGGhPA6GarWIYaFrW8,FALSE
7,Me So Horny,2 Live Crew,spotify:track:6VmhXZ7mS30uWNecHkFouO,https://open.spotify.com/track/6VmhXZ7mS30uWNecHkFouO,6VmhXZ7mS30uWNecHkFouO,TRUE
8,Act Up,City Girls,spotify:track:3A2yGHWIzmGEIolwonU69h,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h,3A2yGHWIzmGEIolwonU69h,TRUE
9,I Know You Want Me (Calle Ocho),Pitbull,spotify:track:5RzFJd6W40SDTyZkX6xx45,https://open.spotify.com/track/5RzFJd6W40SDTyZkX6xx45,5RzFJd6W40SDTyZkX6xx45,FALSE
10,Just Another Day,Jon Secada,spotify:track:5AoBNJQDXXEnIJGjJjZu3y,https://open.spotify.com/track/5AoBNJQDXXEnIJGjJjZu3y,5AoBNJQDXXEnIJGjJjZu3y,FALSE
11,Hustlin',Rick Ross,spotify:track:3hQCHzkE5oSA3F1xM8bpcM,https://open.spotify.com/track/3hQCHzkE5oSA3F1xM8bpcM,3hQCHzkE5oSA3F1xM8bpcM,TRUE
12,My House,Flo Rida,spotify:track:6Knv6wdA0luoMUuuoYi2i1,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1,6Knv6wdA0luoMUuuoYi2i1,FALSE
13,Take It to da House,Trick Daddy,spotify:track:1wLhwzPAtze5JT8qqXlqaO,https://open.spotify.com/track/1wLhwzPAtze5JT8qqXlqaO,1wLhwzPAtze5JT8qqXlqaO,TRUE
14,Da Baddest,Trina,spotify:track:1rBittbf1aWwzeW28dI7Lv,https://open.spotify.com/track/1rBittbf1aWwzeW28dI7Lv,1rBittbf1aWwzeW28dI7Lv,TRUE
15,Miami Dolphins Anthem (Number 1),Adjnamedroach,spotify:track:5ijX7Xexdp0PfFcL6fviUt,https://open.spotify.com/track/5ijX7Xexdp0PfFcL6fviUt,5ijX7Xexdp0PfFcL6fviUt,TRUE
16,All I Do Is Win,DJ Khaled,spotify:track:12sXrSIdiqCtB0vKYHNH29,https://open.spotify.com/track/12sXrSIdiqCtB0vKYHNH29,12sXrSIdiqCtB0vKYHNH29,FALSE
17,Low,Flo Rida,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,0CAfXk7DXMnon4gLudAp7J,FALSE
18,The Boss,Rick Ross,spotify:track:67LLvp5hpAtJRZQa7frobT,https://open.spotify.com/track/67LLvp5hpAtJRZQa7frobT,67LLvp5hpAtJRZQa7frobT,TRUE
19,Grind on Me,Pretty Ricky,spotify:track:7B0aNfWGftNcqixZKUmNP6,https://open.spotify.com/track/7B0aNfWGftNcqixZKUmNP6,7B0aNfWGftNcqixZKUmNP6,TRUE
20,Culo,Pitbull,spotify:track:7DBFxEnUbVn533sURMZMwt,https://open.spotify.com/track/7DBFxEnUbVn533sURMZMwt,7DBFxEnUbVn533sURMZMwt,TRUE
