Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Purple Rain,Prince,spotify:track:1uvyZBs4IZYRebHIB1747m,https://open.spotify.com/track/1uvyZBs4IZYRebHIB1747m,1uvyZBs4IZYRebHIB1747m,FALSE
2,1999,Prince,spotify:track:2H7PHVdQ3mXqEHXcvclTB0,https://open.spotify.com/track/2H7PHVdQ3mXqEHXcvclTB0,2H7PHVdQ3mXqEHXcvclTB0,FALSE
3,Alex Chilton,The Replacements,spotify:track:2g9EvzLR2sYscJQubwKGqu,https://open.spotify.com/track/2g9EvzLR2sYscJQubwKGqu,2g9EvzLR2sYscJQubwKGqu,FALSE
4,Makes No Sense at All,Hüsker Dü,spotify:track:3NNwIsOgMLE2CmMHPCdb9I,https://open.spotify.com/track/3NNwIsOgMLE2CmMHPCdb9I,3NNwIsOgMLE2CmMHPCdb9I,FALSE
5,Like a Rolling Stone,Bob Dylan,spotify:track:3AhXZa8sUQht0UEdBJgpGc,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc,3AhXZa8sUQht0UEdBJgpGc,FALSE
6,Runaway Train,Soul Asylum,spotify:track:3Ib3SJV8ZXuLvDiDb2w1As,https://open.spotify.com/track/3Ib3SJV8ZXuLvDiDb2w1As,3Ib3SJV8ZXuLvDiDb2w1As,FALSE
7,Jungle Love,The Time,spotify:track:0QUpBXTOdB4JJyTGFN6dH1,https://open.spotify.com/track/0QUpBXTOdB4JJyTGFN6dH1,0QUpBXTOdB4JJyTGFN6dH1,FALSE
8,Good as Hell,Lizzo,spotify:track:6KgBpzTuTRPebChN0VTyzV,https://open.spotify.com/track/6KgBpzTuTRPebChN0VTyzV,6KgBpzTuTRPebChN0VTyzV,FALSE
9,Blue,The Jayhawks,spotify:track:5cDfI3KOa64zbuUgD6a4hG,https://open.spotify.com/track/5cDfI3KOa64zbuUgD6a4hG,5cDfI3KOa64zbuUgD6a4hG,FALSE
10,Closing Time,Semisonic,spotify:track:1A5V1sxyCLpKJezp75tUXn,https://open.spotify.com/track/1A5V1sxyCLpKJezp75tUXn,1A5V1sxyCLpKJezp75tUXn,FALSE
11,When Doves Cry,Prince,spotify:track:2GdH8D1LLJ0Q029j6NPoDw,https://open.spotify.com/track/2GdH8D1LLJ0Q029j6NPoDw,2GdH8D1LLJ0Q029j6NPoDw,FALSE
12,Unsatisfied,The Replacements,spotify:track:4QuYdbaC0j3lzmt5hLgMjj,https://open.spotify.com/track/4QuYdbaC0j3lzmt5hLgMjj,4QuYdbaC0j3lzmt5hLgMjj,FALSE
