Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Ring of Fire,Johnny Cash,spotify:track:5rDkA2TFOImbiVenmnE9r4,https://open.spotify.com/track/5rDkA2TFOImbiVenmnE9r4,5rDkA2TFOImbiVenmnE9r4,FALSE
2,Jolene,Dolly Parton,spotify:track:2SpEHTbUuebeLkgs9QB7Ue,https://open.spotify.com/track/2SpEHTbUuebeLkgs9QB7Ue,2SpEHTbUuebeLkgs9QB7Ue,FALSE
3,Coal Miner's Daughter,Loretta Lynn,spotify:track:30m1G9YyiwQzFG7QvAZzHE,https://open.spotify.com/track/30m1G9YyiwQzFG7QvAZzHE,30m1G9YyiwQzFG7QvAZzHE,FALSE
4,Crazy,Patsy Cline,spotify:track:3Vxc7fLBmG8vNk6G6Va9Nz,https://open.spotify.com/track/3Vxc7fLBmG8vNk6G6Va9Nz,3Vxc7fLBmG8vNk6G6Va9Nz,FALSE
5,Hey Good Lookin',Hank Williams,spotify:track:0F76EzCOmno4KJviO7iGNq,https://open.spotify.com/track/0F76EzCOmno4KJviO7iGNq,0F76EzCOmno4KJviO7iGNq,FALSE
6,Use Somebody,Kings of Leon,spotify:track:5VGlqQANWDKJFl0MBG3sg2,https://open.spotify.com/track/5VGlqQANWDKJFl0MBG3sg2,5VGlqQANWDKJFl0MBG3sg2,FALSE
7,Ain't It Fun,Paramore,spotify:track:1j8z4TTjJ1YOdoFEDwJTQa,https://open.spotify.com/track/1j8z4TTjJ1YOdoFEDwJTQa,1j8z4TTjJ1YOdoFEDwJTQa,FALSE
8,"Steady, as She Goes",The Raconteurs,spotify:track:4xlEKYv7HmC8zXoJIbpZKM,https://open.spotify.com/track/4xlEKYv7HmC8zXoJIbpZKM,4xlEKYv7HmC8zXoJIbpZKM,FALSE
9,Stand by Your Man,Tammy Wynette,spotify:track:6xatfNMI8NkY5XxRHAeiS4,https://open.spotify.com/track/6xatfNMI8NkY5XxRHAeiS4,6xatfNMI8NkY5XxRHAeiS4,FALSE
10,Everlasting Love,Robert Knight,spotify:track:0YR8dAoJh6Hba2c9EvppJI,https://open.spotify.com/track/0YR8dAoJh6Hba2c9EvppJI,0YR8dAoJh6Hba2c9EvppJI,FALSE
11,Friends In Low Places,Garth Brooks,spotify:track:6edCj6jvE6Xs5ECmhMsSxp,https://open.spotify.com/track/6edCj6jvE6Xs5ECmhMsSxp,6edCj6jvE6Xs5ECmhMsSxp,FALSE
12,I Will Always Love You,Dolly Parton,spotify:track:6nRvgo4ySezQKD1D7NIqAu,https://open.spotify.com/track/6nRvgo4ySezQKD1D7NIqAu,6nRvgo4ySezQKD1D7NIqAu,FALSE
