Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Do You Know What It Means to Miss New Orleans,Louis Armstrong,spotify:track:7mfSpmpCbKqQ4y5P8yIsYV,https://open.spotify.com/track/7mfSpmpCbKqQ4y5P8yIsYV,7mfSpmpCbKqQ4y5P8yIsYV,FALSE
2,Walking to New Orleans,Fats Domino,spotify:track:5TcEq6qNQJ7HXeTxwB3ZGB,https://open.spotify.com/track/5TcEq6qNQJ7HXeTxwB3ZGB,5TcEq6qNQJ7HXeTxwB3ZGB,FALSE
3,Go to the Mardi Gras,Professor Longhair,spotify:track:4rD1fASq8xwni5VjLB09Ub,https://open.spotify.com/track/4rD1fASq8xwni5VjLB09Ub,4rD1fASq8xwni5VjLB09Ub,FALSE
4,Hey Pocky A-Way,The Meters,spotify:track:3QWref6eXBTcypIrVvFSTX,https://open.spotify.com/track/3QWref6eXBTcypIrVvFSTX,3QWref6eXBTcypIrVvFSTX,FALSE
5,Right Place Wrong Time,Dr. John,spotify:track:0I2ELF6uHlL4ABu9aFiou7,https://open.spotify.com/track/0I2ELF6uHlL4ABu9aFiou7,0I2ELF6uHlL4ABu9aFiou7,FALSE
6,Do Whatcha Wanna,Rebirth Brass Band,spotify:track:7CVfMYSnfP7663G9g6bKX4,https://open.spotify.com/track/7CVfMYSnfP7663G9g6bKX4,7CVfMYSnfP7663G9g6bKX4,FALSE
7,Drop Me Off in New Orleans,Kermit Ruffins,spotify:track:5PPG6S0didC96fCXpwtIDY,https://open.spotify.com/track/5PPG6S0didC96fCXpwtIDY,5PPG6S0didC96fCXpwtIDY,FALSE
8,Explode,Big Freedia,spotify:track:7CMfPwodyj6K2Envg1qxWa,https://open.spotify.com/track/7CMfPwodyj6K2Envg1qxWa,7CMfPwodyj6K2Envg1qxWa,FALSE
9,Choppa Style,Choppa,spotify:track:50fr7aJFdGsPgA66bxfRPG,https://open.spotify.com/track/50fr7aJFdGsPgA66bxfRPG,50fr7aJFdGsPgA66bxfRPG,FALSE
10,When the Saints Go Marching In,Louis Armstrong,spotify:track:3GMxobnrcay3xl6jJ7fbVz,https://open.spotify.com/track/3GMxobnrcay3xl6jJ7fbVz,3GMxobnrcay3xl6jJ7fbVz,FALSE
11,Iko Iko,The Dixie Cups,spotify:track:2xZPpUIcajScKX99PH0fD9,https://open.spotify.com/track/2xZPpUIcajScKX99PH0fD9,2xZPpUIcajScKX99PH0fD9,FALSE
12,Hurricane Season,Trombone Shorty,spotify:track:10yqXWUbVgZy0XzonDOIgs,https://open.spotify.com/track/10yqXWUbVgZy0XzonDOIgs,10yqXWUbVgZy0XzonDOIgs,FALSE
