Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Thunderstruck,AC/DC,spotify:track:57bgtoPSgt236HzfBOd8kj,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,57bgtoPSgt236HzfBOd8kj,FALSE
2,We're Not Gonna Take It,Twisted Sister,spotify:track:5X79VgaOn8pDTpTKu3PixN,https://open.spotify.com/track/5X79VgaOn8pDTpTKu3PixN,5X79VgaOn8pDTpTKu3PixN,FALSE
3,Jump Around,House of Pain,spotify:track:6JymsaWDHk2Yj4e0yNBIFH,https://open.spotify.com/track/6JymsaWDHk2Yj4e0yNBIFH,6JymsaWDHk2Yj4e0yNBIFH,FALSE
4,Crazy Train,Ozzy Osbourne,spotify:track:7ACxUo21jtTHzy7ZEV56vU,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU,7ACxUo21jtTHzy7ZEV56vU,FALSE
5,Livin' on a Prayer,Bon Jovi,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,https://open.spotify.com/track/37ZJ0p5Jm13JPevGcx4SkF,37ZJ0p5Jm13JPevGcx4SkF,FALSE
6,Don't Stop Believin',Journey,spotify:track:77NNZQSqzLNqh2A9JhLRkg,https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg,77NNZQSqzLNqh2A9JhLRkg,FALSE
7,All Summer Long,Kid Rock,spotify:track:5rX6C5QVvvZB7XckETNych,https://open.spotify.com/track/5rX6C5QVvvZB7XckETNych,5rX6C5QVvvZB7XckETNych,FALSE
8,Enter Sandman,Metallica,spotify:track:3DwQ7AH3xGD9h65ezslm6q,https://open.spotify.com/track/3DwQ7AH3xGD9h65ezslm6q,3DwQ7AH3xGD9h65ezslm6q,FALSE
9,It Takes Two,Rob Base & DJ EZ Rock,spotify:track:0gFB5H3pHN13ERt2FyMuWi,https://open.spotify.com/track/0gFB5H3pHN13ERt2FyMuWi,0gFB5H3pHN13ERt2FyMuWi,FALSE
10,Sweet Caroline,Neil Diamond,spotify:track:62AuGbAkt8Ox2IrFFb8GKV,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV,62AuGbAkt8Ox2IrFFb8GKV,FALSE
11,Seven Nation Army,The White Stripes,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,3dPQuX8Gs42Y7b454ybpMR,FALSE
12,Mr. Brightside,The Killers,spotify:track:003vvx7Niy0yvhvHt4a68B,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,003vvx7Niy0yvhvHt4a68B,FALSE
