Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,La Vie en Rose,Édith Piaf,spotify:track:3lAun9V0YdTlCSIEXPvfsY,https://open.spotify.com/track/3lAun9V0YdTlCSIEXPvfsY,3lAun9V0YdTlCSIEXPvfsY,FALSE
2,La Bohème,Charles Aznavour,spotify:track:1WvvmEowf7hiz5EnyAwtTj,https://open.spotify.com/track/1WvvmEowf7hiz5EnyAwtTj,1WvvmEowf7hiz5EnyAwtTj,FALSE
3,Les Champs-Élysées,Joe Dassin,spotify:track:4Wivm22R3D8WxExv39k25M,https://open.spotify.com/track/4Wivm22R3D8WxExv39k25M,4Wivm22R3D8WxExv39k25M,FALSE
4,"Non, Je Ne Regrette Rien",Édith Piaf,spotify:track:3dkIE8P7hvl3tHl9KSb6dA,https://open.spotify.com/track/3dkIE8P7hvl3tHl9KSb6dA,3dkIE8P7hvl3tHl9KSb6dA,FALSE
5,Around the World,Daft Punk,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,https://open.spotify.com/track/1pKYYY0dkg23sQQXi0Q5zN,1pKYYY0dkg23sQQXi0Q5zN,FALSE
6,Je t'aime... moi non plus,Serge Gainsbourg,spotify:track:5P0tWr5JZqDoi5wq2OalFH,https://open.spotify.com/track/5P0tWr5JZqDoi5wq2OalFH,5P0tWr5JZqDoi5wq2OalFH,FALSE
7,"Il est cinq heures, Paris s'éveille",Jacques Dutronc,spotify:track:2CLeotsLhEUu0qkj56vbUj,https://open.spotify.com/track/2CLeotsLhEUu0qkj56vbUj,2CLeotsLhEUu0qkj56vbUj,FALSE
8,1901,Phoenix,spotify:track:68hYdj3GepWm2R202KhJT7,https://open.spotify.com/track/68hYdj3GepWm2R202KhJT7,68hYdj3GepWm2R202KhJT7,FALSE
9,Je veux,Zaz,spotify:track:734dz1YaFITwawPpM25fSt,https://open.spotify.com/track/734dz1YaFITwawPpM25fSt,734dz1YaFITwawPpM25fSt,FALSE
10,Sous le ciel de Paris,Yves Montand,spotify:track:2tSpxPGywYcnfanQIT30gs,https://open.spotify.com/track/2tSpxPGywYcnfanQIT30gs,2tSpxPGywYcnfanQIT30gs,FALSE
11,Paris,The Chainsmokers,spotify:track:72jbDTw1piOOj770jWNeaG,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,72jbDTw1piOOj770jWNeaG,FALSE
12,Lisztomania,Phoenix,spotify:track:4esUVfYnFcCCVHntx9FQCb,https://open.spotify.com/track/4esUVfYnFcCCVHntx9FQCb,4esUVfYnFcCCVHntx9FQCb,FALSE
