Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Black and Yellow,Wiz Khalifa,spotify:track:5A6OHHy73AR5tLxgTc98zz,https://open.spotify.com/track/5A6OHHy73AR5tLxgTc98zz,5A6OHHy73AR5tLxgTc98zz,TRUE
2,Frick Park Market,Mac Miller,spotify:track:66rtLb2z7DJYznSQJqECAp,https://open.spotify.com/track/66rtLb2z7DJYznSQJqECAp,66rtLb2z7DJYznSQJqECAp,TRUE
3,Party on Fifth Ave.,Mac Miller,spotify:track:27Ms3vSnrfyrzpb7mbXeNp,https://open.spotify.com/track/27Ms3vSnrfyrzpb7mbXeNp,27Ms3vSnrfyrzpb7mbXeNp,TRUE
4,Ah! Leah!,Donnie Iris,spotify:track:3ifaGhNHnCPQ9zdnOfolcZ,https://open.spotify.com/track/3ifaGhNHnCPQ9zdnOfolcZ,3ifaGhNHnCPQ9zdnOfolcZ,FALSE
5,Pumping Iron,Joe Grushecky and The Houserockers,spotify:track:4DEiYlGCQ1qKMKbNyGTEqh,https://open.spotify.com/track/4DEiYlGCQ1qKMKbNyGTEqh,4DEiYlGCQ1qKMKbNyGTEqh,FALSE
6,Forever,Code Orange,spotify:track:1G6czdqgskwJ4cBgx9CDAJ,https://open.spotify.com/track/1G6czdqgskwJ4cBgx9CDAJ,1G6czdqgskwJ4cBgx9CDAJ,FALSE
7,Here We Go,Roger Wood,spotify:track:5lnmc7WocSUXrKWtgA6pLT,https://open.spotify.com/track/5lnmc7WocSUXrKWtgA6pLT,5lnmc7WocSUXrKWtgA6pLT,FALSE
8,Renegade,Styx,spotify:track:1CQqupcyMg7176PPmIVmSj,https://open.spotify.com/track/1CQqupcyMg7176PPmIVmSj,1CQqupcyMg7176PPmIVmSj,FALSE
9,We Are Family,Sister Sledge,spotify:track:5IKLwqBQG6KU6MP2zP80Nu,https://open.spotify.com/track/5IKLwqBQG6KU6MP2zP80Nu,5IKLwqBQG6KU6MP2zP80Nu,FALSE
10,Party Hard,Andrew W.K.,spotify:track:0E0bZtTG39K95uRjqBo1Mx,https://open.spotify.com/track/0E0bZtTG39K95uRjqBo1Mx,0E0bZtTG39K95uRjqBo1Mx,FALSE
11,Mr. Smiley,The Clarks,spotify:track:12GEszobr92vUXs4LCdwjK,https://open.spotify.com/track/12GEszobr92vUXs4LCdwjK,12GEszobr92vUXs4LCdwjK,FALSE
12,Send Me On My Way,Rusted Root,spotify:track:5iknYAzFPLeeKZRbZpWhKm,https://open.spotify.com/track/5iknYAzFPLeeKZRbZpWhKm,5iknYAzFPLeeKZRbZpWhKm,FALSE
