Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Brown Sugar,D'Angelo,spotify:track:7rt0kEDWRg3pgTZJKuszoE,https://open.spotify.com/track/7rt0kEDWRg3pgTZJKuszoE,7rt0kEDWRg3pgTZJKuszoE,TRUE
2,Redneck,Lamb of God,spotify:track:1WZVnw0YWc7OLkVijEargx,https://open.spotify.com/track/1WZVnw0YWc7OLkVijEargx,1WZVnw0YWc7OLkVijEargx,TRUE
3,I'm Yours,Jason Mraz,spotify:track:1EzrEOXmMH3G43AXT1y7pA,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,1EzrEOXmMH3G43AXT1y7pA,FALSE
4,Ants Marching,Dave Matthews Band,spotify:track:2FfZg072w8RoxlMOR7M4CT,https://open.spotify.com/track/2FfZg072w8RoxlMOR7M4CT,2FfZg072w8RoxlMOR7M4CT,FALSE
5,Life Less Ordinary,Carbon Leaf,spotify:track:74OLeDsyhWDNZgoAjIIw9I,https://open.spotify.com/track/74OLeDsyhWDNZgoAjIIw9I,74OLeDsyhWDNZgoAjIIw9I,FALSE
6,The Way It Is,Bruce Hornsby and the Range,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,https://open.spotify.com/track/6V50MyHPGhEmwYu0Wdyf0t,6V50MyHPGhEmwYu0Wdyf0t,FALSE
7,Sick of You,GWAR,spotify:track:5VLO9fzXQ3oUxDAWQ9327o,https://open.spotify.com/track/5VLO9fzXQ3oUxDAWQ9327o,5VLO9fzXQ3oUxDAWQ9327o,TRUE
8,Low,Cracker,spotify:track:6ctbCIikHbC6tSOL1rewQX,https://open.spotify.com/track/6ctbCIikHbC6tSOL1rewQX,6ctbCIikHbC6tSOL1rewQX,FALSE
9,Say Aah,Trey Songz,spotify:track:2fQ6sBFWaLv2Gxos4igHLy,https://open.spotify.com/track/2fQ6sBFWaLv2Gxos4igHLy,2fQ6sBFWaLv2Gxos4igHLy,FALSE
10,Untitled (How Does It Feel),D'Angelo,spotify:track:4oPNN7syJYSjzDhRerF966,https://open.spotify.com/track/4oPNN7syJYSjzDhRerF966,4oPNN7syJYSjzDhRerF966,FALSE
11,Sweet Virginia Breeze,Robbin Thompson,spotify:track:0E4W7YQW47FSp3ISZnKPC1,https://open.spotify.com/track/0E4W7YQW47FSp3ISZnKPC1,0E4W7YQW47FSp3ISZnKPC1,FALSE
12,Bottoms Up,Trey Songz,spotify:track:4AYX69oFP3UOS1CFmV9UfO,https://open.spotify.com/track/4AYX69oFP3UOS1CFmV9UfO,4AYX69oFP3UOS1CFmV9UfO,TRUE
