Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Garota de Ipanema,Antônio Carlos Jobim,spotify:track:2vTDA7mOYWtuduCylWfiFd,https://open.spotify.com/track/2vTDA7mOYWtuduCylWfiFd,2vTDA7mOYWtuduCylWfiFd,FALSE
2,"Mas, Que Nada!",Jorge Ben Jor,spotify:track:6U03Orwr5Dxt8jahLnQpYV,https://open.spotify.com/track/6U03Orwr5Dxt8jahLnQpYV,6U03Orwr5Dxt8jahLnQpYV,FALSE
3,Chega de Saudade,João Gilberto,spotify:track:6ZVkcZXg252nVEbMETBT1d,https://open.spotify.com/track/6ZVkcZXg252nVEbMETBT1d,6ZVkcZXg252nVEbMETBT1d,FALSE
4,Aquele Abraço,Gilberto Gil,spotify:track:7CjSjWTdVPD0ov82Qz55Xb,https://open.spotify.com/track/7CjSjWTdVPD0ov82Qz55Xb,7CjSjWTdVPD0ov82Qz55Xb,FALSE
5,As Rosas Não Falam,Cartola,spotify:track:6J4gdn9L1im9uqzqBLhht6,https://open.spotify.com/track/6J4gdn9L1im9uqzqBLhht6,6J4gdn9L1im9uqzqBLhht6,FALSE
6,Você,Tim Maia,spotify:track:5c12DVTlsyFbxmysLw0Vll,https://open.spotify.com/track/5c12DVTlsyFbxmysLw0Vll,5c12DVTlsyFbxmysLw0Vll,FALSE
7,Burguesinha,Seu Jorge,spotify:track:35Wfw6eyw39YpOp2lRH11c,https://open.spotify.com/track/35Wfw6eyw39YpOp2lRH11c,35Wfw6eyw39YpOp2lRH11c,FALSE
8,Ainda Bem,Marisa Monte,spotify:track:43BCxznTSBLcXzu4lJ8KW5,https://open.spotify.com/track/43BCxznTSBLcXzu4lJ8KW5,43BCxznTSBLcXzu4lJ8KW5,FALSE
9,Samba da Bênção,Vinícius de Moraes,spotify:track:6T8Bghw2kgnlYpPO0Skezs,https://open.spotify.com/track/6T8Bghw2kgnlYpPO0Skezs,6T8Bghw2kgnlYpPO0Skezs,FALSE
10,Deixa a Vida Me Levar,Zeca Pagodinho,spotify:track:7bdhM9AJqWAIHooF4sh3wW,https://open.spotify.com/track/7bdhM9AJqWAIHooF4sh3wW,7bdhM9AJqWAIHooF4sh3wW,FALSE
11,Aquarela do Brasil,Gal Costa,spotify:track:67r4ZrwGDIqXY8QttMe6pW,https://open.spotify.com/track/67r4ZrwGDIqXY8QttMe6pW,67r4ZrwGDIqXY8QttMe6pW,FALSE
12,Rio de Janeiro Blue,Randy Crawford,spotify:track:4CX1zokUVBNwkroffkPJGb,https://open.spotify.com/track/4CX1zokUVBNwkroffkPJGb,4CX1zokUVBNwkroffkPJGb,FALSE
