Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Saint-Denis,Grand Corps Malade,spotify:track:2PTmBINQ8738rxaTruWmTI,https://open.spotify.com/track/2PTmBINQ8738rxaTruWmTI,2PTmBINQ8738rxaTruWmTI,FALSE
2,Laisse Pas Traîner Ton Fils,Suprême NTM,spotify:track:1G4h8b4UkDVhjFOdpmCyeI,https://open.spotify.com/track/1G4h8b4UkDVhjFOdpmCyeI,1G4h8b4UkDVhjFOdpmCyeI,TRUE
3,That's My People,Suprême NTM,spotify:track:1RWXFHOJ6XjK8a9pitucrX,https://open.spotify.com/track/1RWXFHOJ6XjK8a9pitucrX,1RWXFHOJ6XjK8a9pitucrX,TRUE
4,Banlieusards,Kery James,spotify:track:461K9NwFNjnyZBtrn1EIlo,https://open.spotify.com/track/461K9NwFNjnyZBtrn1EIlo,461K9NwFNjnyZBtrn1EIlo,FALSE
5,La France,Sniper,spotify:track:2HcNdDRcB8DR3rnb8S8Ad5,https://open.spotify.com/track/2HcNdDRcB8DR3rnb8S8Ad5,2HcNdDRcB8DR3rnb8S8Ad5,FALSE
6,Désolé,Sexion d'Assaut,spotify:track:5NsOnvpjvH9sCz8TyVOmOz,https://open.spotify.com/track/5NsOnvpjvH9sCz8TyVOmOz,5NsOnvpjvH9sCz8TyVOmOz,FALSE
7,Bouge de Là,MC Solaar,spotify:track:2QNmVLYcnnAUFwDD10oAqt,https://open.spotify.com/track/2QNmVLYcnnAUFwDD10oAqt,2QNmVLYcnnAUFwDD10oAqt,FALSE
8,Temps Mort,Booba,spotify:track:0seP1sX735CTIC9ynV96kI,https://open.spotify.com/track/0seP1sX735CTIC9ynV96kI,0seP1sX735CTIC9ynV96kI,TRUE
9,Bella,Maître Gims,spotify:track:1vELwZM3uBYWd8HrtddD4l,https://open.spotify.com/track/1vELwZM3uBYWd8HrtddD4l,1vELwZM3uBYWd8HrtddD4l,FALSE
10,Dreamin',Youssoupha,spotify:track:1rnguXUluha5irfPQkyH4b,https://open.spotify.com/track/1rnguXUluha5irfPQkyH4b,1rnguXUluha5irfPQkyH4b,FALSE
11,Seine-Saint-Denis Style,Suprême NTM,spotify:track:1NNAoUoADTegqQqbKOyIQv,https://open.spotify.com/track/1NNAoUoADTegqQqbKOyIQv,1NNAoUoADTegqQqbKOyIQv,TRUE
12,Solaar pleure,MC Solaar,spotify:track:4IFd5gfOwvN8KEkRdJr0yn,https://open.spotify.com/track/4IFd5gfOwvN8KEkRdJr0yn,4IFd5gfOwvN8KEkRdJr0yn,FALSE
