Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,She's About a Mover,Sir Douglas Quintet,spotify:track:40Fs8G1qws6fP8Zz0Tm1u3,https://open.spotify.com/track/40Fs8G1qws6fP8Zz0Tm1u3,40Fs8G1qws6fP8Zz0Tm1u3,FALSE
2,New San Antonio Rose,Bob Wills & His Texas Playboys,spotify:track:3Wjssx9xBkQ1CWdlMmlbpY,https://open.spotify.com/track/3Wjssx9xBkQ1CWdlMmlbpY,3Wjssx9xBkQ1CWdlMmlbpY,FALSE
3,At the Crossroads,Doug Sahm,spotify:track:1p38OuEeDOn69frrBu4Atc,https://open.spotify.com/track/1p38OuEeDOn69frrBu4Atc,1p38OuEeDOn69frrBu4Atc,FALSE
4,Un Mojado Sin Licencia,Flaco Jiménez,spotify:track:4nBMZvCdNRutp6rBfbLtF2,https://open.spotify.com/track/4nBMZvCdNRutp6rBfbLtF2,4nBMZvCdNRutp6rBfbLtF2,FALSE
5,Clumsy Sky,Girl in a Coma,spotify:track:7nfGQhhoXcKU2Zc6dJBoX1,https://open.spotify.com/track/7nfGQhhoXcKU2Zc6dJBoX1,7nfGQhhoXcKU2Zc6dJBoX1,FALSE
6,Como Le Haré,Emilio Navaira,spotify:track:7kZapXGJ8ub5wSjorcJdkx,https://open.spotify.com/track/7kZapXGJ8ub5wSjorcJdkx,7kZapXGJ8ub5wSjorcJdkx,FALSE
7,Hey Baby ¡Qué Paso!,Augie Meyers,spotify:track:3bw6Izh2e02eiaFPK70cSA,https://open.spotify.com/track/3bw6Izh2e02eiaFPK70cSA,3bw6Izh2e02eiaFPK70cSA,FALSE
8,Little Fox,The Krayolas,spotify:track:6LnjKLr8zPfFNRgNEZ7I7j,https://open.spotify.com/track/6LnjKLr8zPfFNRgNEZ7I7j,6LnjKLr8zPfFNRgNEZ7I7j,FALSE
9,Trinity River,Charley Crockett,spotify:track:0wTPBOwxRTHmInoRv0TDAI,https://open.spotify.com/track/0wTPBOwxRTHmInoRv0TDAI,0wTPBOwxRTHmInoRv0TDAI,FALSE
10,Viva Seguin,Santiago Jiménez Jr.,spotify:track:5HdAXE6U79R81vfKagiJPr,https://open.spotify.com/track/5HdAXE6U79R81vfKagiJPr,5HdAXE6U79R81vfKagiJPr,FALSE
11,Wasted Days and Wasted Nights,Freddy Fender,spotify:track:3xPer22ZLDCRQtb6Z03ykt,https://open.spotify.com/track/3xPer22ZLDCRQtb6Z03ykt,3xPer22ZLDCRQtb6Z03ykt,FALSE
12,Mendocino,Sir Douglas Quintet,spotify:track:229NClBYlLJlBhM6yGGwoi,https://open.spotify.com/track/229NClBYlLJlBhM6yGGwoi,229NClBYlLJlBhM6yGGwoi,FALSE
