Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,All the Small Things,blink-182,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,2m1hi0nfMR9vdGC8UcrnwU,FALSE
2,Meant to Live,Switchfoot,spotify:track:04Xpe3JLbLoP9JahE4DOes,https://open.spotify.com/track/04Xpe3JLbLoP9JahE4DOes,04Xpe3JLbLoP9JahE4DOes,FALSE
3,Interstate Love Song,Stone Temple Pilots,spotify:track:600s08VdbjiyAjDGDjYSFI,https://open.spotify.com/track/600s08VdbjiyAjDGDjYSFI,600s08VdbjiyAjDGDjYSFI,FALSE
4,What's My Age Again?,blink-182,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,https://open.spotify.com/track/4LJhJ6DQS7NwE7UKtvcM52,4LJhJ6DQS7NwE7UKtvcM52,TRUE
5,On a Rope,Rocket from the Crypt,spotify:track:4Tkxvxb3cEV9uM4oXcWQ4s,https://open.spotify.com/track/4Tkxvxb3cEV9uM4oXcWQ4s,4Tkxvxb3cEV9uM4oXcWQ4s,FALSE
6,Alive,P.O.D.,spotify:track:3IRovqSVYx3CNtDWRebsET,https://open.spotify.com/track/3IRovqSVYx3CNtDWRebsET,3IRovqSVYx3CNtDWRebsET,FALSE
7,Who Will Save Your Soul,Jewel,spotify:track:0OH8dSQmKm2zjhqRPYsk1h,https://open.spotify.com/track/0OH8dSQmKm2zjhqRPYsk1h,0OH8dSQmKm2zjhqRPYsk1h,FALSE
8,In-A-Gadda-Da-Vida,Iron Butterfly,spotify:track:0b3eySH1tJn6bBvxrGpxBK,https://open.spotify.com/track/0b3eySH1tJn6bBvxrGpxBK,0b3eySH1tJn6bBvxrGpxBK,FALSE
9,Seein' Red,Unwritten Law,spotify:track:2Am5FcMvdx4u4QAnQAwjVH,https://open.spotify.com/track/2Am5FcMvdx4u4QAnQAwjVH,2Am5FcMvdx4u4QAnQAwjVH,FALSE
10,King for a Day,Pierce the Veil,spotify:track:1IT0WQk5J8NsaeII8ktdlZ,https://open.spotify.com/track/1IT0WQk5J8NsaeII8ktdlZ,1IT0WQk5J8NsaeII8ktdlZ,TRUE
11,San Diego,blink-182,spotify:track:2USJYiIo3g8dt9a2qzD9fG,https://open.spotify.com/track/2USJYiIo3g8dt9a2qzD9fG,2USJYiIo3g8dt9a2qzD9fG,FALSE
12,Dare You To Move,Switchfoot,spotify:track:27Sm4xX5nwp76x3FxKzrIr,https://open.spotify.com/track/27Sm4xX5nwp76x3FxKzrIr,27Sm4xX5nwp76x3FxKzrIr,FALSE
