Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Do You Know the Way to San Jose,Dionne Warwick,spotify:track:3ADQ9jGCJ6MfSbIZqtbVj2,https://open.spotify.com/track/3ADQ9jGCJ6MfSbIZqtbVj2,3ADQ9jGCJ6MfSbIZqtbVj2,FALSE
2,All Star,Smash Mouth,spotify:track:19fm0eNKTeg1JbHCHwPhLe,https://open.spotify.com/track/19fm0eNKTeg1JbHCHwPhLe,19fm0eNKTeg1JbHCHwPhLe,FALSE
3,Listen to the Music,The Doobie Brothers,spotify:track:2fja4gHzPsIXiK4bMeU0hN,https://open.spotify.com/track/2fja4gHzPsIXiK4bMeU0hN,2fja4gHzPsIXiK4bMeU0hN,FALSE
4,La Puerta Negra,Los Tigres del Norte,spotify:track:5TueyPDnDMPSRdQd7VYooI,https://open.spotify.com/track/5TueyPDnDMPSRdQd7VYooI,5TueyPDnDMPSRdQd7VYooI,FALSE
5,Psychotic Reaction,The Count Five,spotify:track:5JcaA4A9ZoXthwEnxOxWvP,https://open.spotify.com/track/5JcaA4A9ZoXthwEnxOxWvP,5JcaA4A9ZoXthwEnxOxWvP,FALSE
6,Little Girl,Syndicate of Sound,spotify:track:3UxZw2CfZ3dmNIii4CxMtG,https://open.spotify.com/track/3UxZw2CfZ3dmNIii4CxMtG,3UxZw2CfZ3dmNIii4CxMtG,FALSE
7,Walkin' on the Sun,Smash Mouth,spotify:track:7uGFU4aQolKIem4DFB7BME,https://open.spotify.com/track/7uGFU4aQolKIem4DFB7BME,7uGFU4aQolKIem4DFB7BME,FALSE
8,China Grove,The Doobie Brothers,spotify:track:7cy1bEJV6FCtDaYpsk8aG6,https://open.spotify.com/track/7cy1bEJV6FCtDaYpsk8aG6,7cy1bEJV6FCtDaYpsk8aG6,FALSE
9,Summertime Thing,Chuck Prophet,spotify:track:4mhGypdjd234FSSAWTzo6T,https://open.spotify.com/track/4mhGypdjd234FSSAWTzo6T,4mhGypdjd234FSSAWTzo6T,FALSE
10,Then the Morning Comes,Smash Mouth,spotify:track:50MfV7a1pnOEcf2t9kobxW,https://open.spotify.com/track/50MfV7a1pnOEcf2t9kobxW,50MfV7a1pnOEcf2t9kobxW,FALSE
11,Long Train Runnin',The Doobie Brothers,spotify:track:4nXkbcTj3nyww1cHkw5RAP,https://open.spotify.com/track/4nXkbcTj3nyww1cHkw5RAP,4nXkbcTj3nyww1cHkw5RAP,FALSE
12,La Jaula de Oro,Los Tigres Del Norte,spotify:track:0Ui4HOFj8qhdh2nm1lJ074,https://open.spotify.com/track/0Ui4HOFj8qhdh2nm1lJ074,0Ui4HOFj8qhdh2nm1lJ074,FALSE
