Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Separate Ways (Worlds Apart),Journey,spotify:track:4ECNtOnqzxutZkXP4TE3n3,https://open.spotify.com/track/4ECNtOnqzxutZkXP4TE3n3,4ECNtOnqzxutZkXP4TE3n3,FALSE
2,Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s,6L89mwZXSOwYl76YXfX13s,FALSE
3,U Can't Touch This,MC Hammer,spotify:track:1B75hgRqe7A4fwee3g3Wmu,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu,1B75hgRqe7A4fwee3g3Wmu,FALSE
4,The Humpty Dance,Digital Underground,spotify:track:6fuVJB15oz5arfStXweNyh,https://open.spotify.com/track/6fuVJB15oz5arfStXweNyh,6fuVJB15oz5arfStXweNyh,TRUE
5,Blow the Whistle,Too $hort,spotify:track:2VynCsdgq8MxBw3MpkB77l,https://open.spotify.com/track/2VynCsdgq8MxBw3MpkB77l,2VynCsdgq8MxBw3MpkB77l,FALSE
6,My Lovin' (You're Never Gonna Get It),En Vogue,spotify:track:0959LxnXu9PUhMMZyJpFYa,https://open.spotify.com/track/0959LxnXu9PUhMMZyJpFYa,0959LxnXu9PUhMMZyJpFYa,FALSE
7,The Power of Love,Huey Lewis and the News,spotify:track:2olVm1lHicpveMAo4AUDRB,https://open.spotify.com/track/2olVm1lHicpveMAo4AUDRB,2olVm1lHicpveMAo4AUDRB,FALSE
8,What Is Hip?,Tower of Power,spotify:track:2SrxZJB9Q51DATUJXJ2N3a,https://open.spotify.com/track/2SrxZJB9Q51DATUJXJ2N3a,2SrxZJB9Q51DATUJXJ2N3a,FALSE
9,Epic,Faith No More,spotify:track:4ReyTz0y3TGkX48wO3Llot,https://open.spotify.com/track/4ReyTz0y3TGkX48wO3Llot,4ReyTz0y3TGkX48wO3Llot,FALSE
10,Master of Puppets,Metallica,spotify:track:54bm2e3tk8cliUz3VSdCPZ,https://open.spotify.com/track/54bm2e3tk8cliUz3VSdCPZ,54bm2e3tk8cliUz3VSdCPZ,FALSE
11,Tell Me When To Go,E-40,spotify:track:6fCMuN6apeZrRQ2ZGIxxwt,https://open.spotify.com/track/6fCMuN6apeZrRQ2ZGIxxwt,6fCMuN6apeZrRQ2ZGIxxwt,TRUE
12,Good Riddance (Time of Your Life),Green Day,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,https://open.spotify.com/track/6ORqU0bHbVCRjXm9AjyHyZ,6ORqU0bHbVCRjXm9AjyHyZ,FALSE
