Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,"Goodnight, Irene",Lead Belly,spotify:track:7FwE3eDX5QMKStc8i1tc9S,https://open.spotify.com/track/7FwE3eDX5QMKStc8i1tc9S,7FwE3eDX5QMKStc8i1tc9S,FALSE
2,Blue on Black,Kenny Wayne Shepherd,spotify:track:7GRq9NUgqhxPGUUksX02fk,https://open.spotify.com/track/7GRq9NUgqhxPGUUksX02fk,7GRq9NUgqhxPGUUksX02fk,FALSE
3,Susie Q,Dale Hawkins,spotify:track:0o4Ik5Irn88xxg8NLUPXMk,https://open.spotify.com/track/0o4Ik5Irn88xxg8NLUPXMk,0o4Ik5Irn88xxg8NLUPXMk,FALSE
4,I'm So Lonesome I Could Cry,Hank Williams,spotify:track:0A6qz3hJzP6h1KGDjT3KlY,https://open.spotify.com/track/0A6qz3hJzP6h1KGDjT3KlY,0A6qz3hJzP6h1KGDjT3KlY,FALSE
5,Blue Moon of Kentucky,Elvis Presley,spotify:track:7JWW7D0FLAEcqt6Fdhbr9D,https://open.spotify.com/track/7JWW7D0FLAEcqt6Fdhbr9D,7JWW7D0FLAEcqt6Fdhbr9D,FALSE
6,In the Jailhouse Now,Webb Pierce,spotify:track:3N8eJFMLXJDNtw6UaY8Uz7,https://open.spotify.com/track/3N8eJFMLXJDNtw6UaY8Uz7,3N8eJFMLXJDNtw6UaY8Uz7,FALSE
7,Hello Walls,Faron Young,spotify:track:4dim8F8t01qimHOmr6S3Gd,https://open.spotify.com/track/4dim8F8t01qimHOmr6S3Gd,4dim8F8t01qimHOmr6S3Gd,FALSE
8,Roll On Big Mama,Joe Stampley,spotify:track:3NKMuVTOQiuGRC00WCTLW8,https://open.spotify.com/track/3NKMuVTOQiuGRC00WCTLW8,3NKMuVTOQiuGRC00WCTLW8,FALSE
9,Where Did You Sleep Last Night,Lead Belly,spotify:track:3XdnNX0cPynrR7KdRoyjwa,https://open.spotify.com/track/3XdnNX0cPynrR7KdRoyjwa,3XdnNX0cPynrR7KdRoyjwa,FALSE
10,Deja Voodoo,Kenny Wayne Shepherd,spotify:track:4LTPyRMM9hEEadSXFdrHBI,https://open.spotify.com/track/4LTPyRMM9hEEadSXFdrHBI,4LTPyRMM9hEEadSXFdrHBI,FALSE
11,Polk Salad Annie,Tony Joe White,spotify:track:0jtz7Ia3HahOqXWnKad0rn,https://open.spotify.com/track/0jtz7Ia3HahOqXWnKad0rn,0jtz7Ia3HahOqXWnKad0rn,FALSE
12,Sea of Love,Phil Phillips,spotify:track:4gUDdUr5yK0JGlR49zSRVt,https://open.spotify.com/track/4gUDdUr5yK0JGlR49zSRVt,4gUDdUr5yK0JGlR49zSRVt,FALSE
