Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Johnny B. Goode,Chuck Berry,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2,2QfiRTz5Yc8DdShCxG1tB2,FALSE
2,Country Grammar,Nelly,spotify:track:3wMUvT6eIw2L5cZFG1yH9j,https://open.spotify.com/track/3wMUvT6eIw2L5cZFG1yH9j,3wMUvT6eIw2L5cZFG1yH9j,TRUE
3,Sweet Little Sixteen,Chuck Berry,spotify:track:4GWHrdyVTC0AWwuRgoWzE7,https://open.spotify.com/track/4GWHrdyVTC0AWwuRgoWzE7,4GWHrdyVTC0AWwuRgoWzE7,FALSE
4,Hot in Herre,Nelly,spotify:track:4gM5Vz9nYlYl3xJjeS4tXv,https://open.spotify.com/track/4gM5Vz9nYlYl3xJjeS4tXv,4gM5Vz9nYlYl3xJjeS4tXv,TRUE
5,Proud Mary,Ike & Tina Turner,spotify:track:7pG4iA4AyU7Lgf0vW593W1,https://open.spotify.com/track/7pG4iA4AyU7Lgf0vW593W1,7pG4iA4AyU7Lgf0vW593W1,FALSE
6,So What,Miles Davis,spotify:track:4vLYewWIvqHfKtJDk8c8tq,https://open.spotify.com/track/4vLYewWIvqHfKtJDk8c8tq,4vLYewWIvqHfKtJDk8c8tq,FALSE
7,Right Thurr,Chingy,spotify:track:0l3GEbH3CviUytD6iX4wzg,https://open.spotify.com/track/0l3GEbH3CviUytD6iX4wzg,0l3GEbH3CviUytD6iX4wzg,TRUE
8,Gloria,Laura Branigan,spotify:track:15ob9SMGLWrexuPuyuMjKl,https://open.spotify.com/track/15ob9SMGLWrexuPuyuMjKl,15ob9SMGLWrexuPuyuMjKl,FALSE
9,The Entertainer,Scott Joplin,spotify:track:3eSxeekA3GdDoCaIv92l5l,https://open.spotify.com/track/3eSxeekA3GdDoCaIv92l5l,3eSxeekA3GdDoCaIv92l5l,FALSE
10,New Madrid,Uncle Tupelo,spotify:track:1xCPwfMQe5m5fAz5hrkvQO,https://open.spotify.com/track/1xCPwfMQe5m5fAz5hrkvQO,1xCPwfMQe5m5fAz5hrkvQO,FALSE
11,St. Louis Blues,Bessie Smith,spotify:track:3cw8eL6EI64aCw9Mw6Ipgd,https://open.spotify.com/track/3cw8eL6EI64aCw9Mw6Ipgd,3cw8eL6EI64aCw9Mw6Ipgd,FALSE
12,Maybellene,Chuck Berry,spotify:track:3SQhmctWreNM0X6Zkm2K5R,https://open.spotify.com/track/3SQhmctWreNM0X6Zkm2K5R,3SQhmctWreNM0X6Zkm2K5R,FALSE
