Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Blue Bayou,Linda Ronstadt,spotify:track:3zxklD2EGecZre9MjEEvIU,https://open.spotify.com/track/3zxklD2EGecZre9MjEEvIU,3zxklD2EGecZre9MjEEvIU,FALSE
2,You're No Good,Linda Ronstadt,spotify:track:23DZLSxCK6kM8FF2RlzKDl,https://open.spotify.com/track/23DZLSxCK6kM8FF2RlzKDl,23DZLSxCK6kM8FF2RlzKDl,FALSE
3,Crystal Frontier,Calexico,spotify:track:2XbEpOCwzS1Se8CZnpJWZ4,https://open.spotify.com/track/2XbEpOCwzS1Se8CZnpJWZ4,2XbEpOCwzS1Se8CZnpJWZ4,FALSE
4,Center of the Universe,Giant Sand,spotify:track:5z9EYewQq1tGZCokt75WDv,https://open.spotify.com/track/5z9EYewQq1tGZCokt75WDv,5z9EYewQq1tGZCokt75WDv,FALSE
5,"Hold On, Hold On",Neko Case,spotify:track:3S80U4lmgrsYM9Ew93Z82P,https://open.spotify.com/track/3S80U4lmgrsYM9Ew93Z82P,3S80U4lmgrsYM9Ew93Z82P,FALSE
6,Witch Doctor,The Sidewinders,spotify:track:7CYleW9lRHHWUWdAU2PtiX,https://open.spotify.com/track/7CYleW9lRHHWUWdAU2PtiX,7CYleW9lRHHWUWdAU2PtiX,FALSE
7,Big Iron,Marty Robbins,spotify:track:0AQquaENerGps8BQmbPw14,https://open.spotify.com/track/0AQquaENerGps8BQmbPw14,0AQquaENerGps8BQmbPw14,FALSE
8,Not Even Stevie Nicks,Calexico,spotify:track:2iLs63dSYO2r6YEfz0ikg2,https://open.spotify.com/track/2iLs63dSYO2r6YEfz0ikg2,2iLs63dSYO2r6YEfz0ikg2,FALSE
9,"Long, Long Time",Linda Ronstadt,spotify:track:1khA4hwhZD4HMecyE1e9U1,https://open.spotify.com/track/1khA4hwhZD4HMecyE1e9U1,1khA4hwhZD4HMecyE1e9U1,FALSE
10,Get to Leave,Howe Gelb,spotify:track:1KpeD3T8AwNmr22MNz538I,https://open.spotify.com/track/1KpeD3T8AwNmr22MNz538I,1KpeD3T8AwNmr22MNz538I,FALSE
11,Tucson Train,Bruce Springsteen,spotify:track:21MedyUdjeYbjXiorYcSwd,https://open.spotify.com/track/21MedyUdjeYbjXiorYcSwd,21MedyUdjeYbjXiorYcSwd,FALSE
12,Across the Wire,Calexico,spotify:track:2a4mWlMBaDcsXovdRpkpIE,https://open.spotify.com/track/2a4mWlMBaDcsXovdRpkpIE,2a4mWlMBaDcsXovdRpkpIE,FALSE
