Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
1,Bustin' Loose,Chuck Brown,spotify:track:3SJkwOKNpMz1z9nEICH6xa,https://open.spotify.com/track/3SJkwOKNpMz1z9nEICH6xa,3SJkwOKNpMz1z9nEICH6xa,FALSE
2,Banned in D.C.,Bad Brains,spotify:track:0YnP5BtP6lTwQV8gLOzaov,https://open.spotify.com/track/0YnP5BtP6lTwQV8gLOzaov,0YnP5BtP6lTwQV8gLOzaov,TRUE
3,"Take the ""A"" Train",Duke Ellington,spotify:track:4TYHD0GN6LCCbMBWuUJL8E,https://open.spotify.com/track/4TYHD0GN6LCCbMBWuUJL8E,4TYHD0GN6LCCbMBWuUJL8E,FALSE
4,Waiting Room,Fugazi,spotify:track:5FFowl1Ve4S5OehL6OywSg,https://open.spotify.com/track/5FFowl1Ve4S5OehL6OywSg,5FFowl1Ve4S5OehL6OywSg,FALSE
5,Straight Edge,Minor Threat,spotify:track:1x8N5sNHdQtY328uP5DxIp,https://open.spotify.com/track/1x8N5sNHdQtY328uP5DxIp,1x8N5sNHdQtY328uP5DxIp,FALSE
6,Let's Get It On,Marvin Gaye,spotify:track:39l1UORIhuHvUWfxG53tRZ,https://open.spotify.com/track/39l1UORIhuHvUWfxG53tRZ,39l1UORIhuHvUWfxG53tRZ,FALSE
7,Drop the Bomb,Trouble Funk,spotify:track:2BpcJqEHjmBucyxH7Snw8Q,https://open.spotify.com/track/2BpcJqEHjmBucyxH7Snw8Q,2BpcJqEHjmBucyxH7Snw8Q,FALSE
8,Pretty Girls,Wale,spotify:track:48XfWQWviUHEIbf5hgA7TS,https://open.spotify.com/track/48XfWQWviUHEIbf5hgA7TS,48XfWQWviUHEIbf5hgA7TS,TRUE
9,Body Moves,Rare Essence,spotify:track:4ZPHyxrZgg8z3w2obhQ9tG,https://open.spotify.com/track/4ZPHyxrZgg8z3w2obhQ9tG,4ZPHyxrZgg8z3w2obhQ9tG,FALSE
10,Skillet,Backyard Band,spotify:track:4WvMf3eLoIRbFKb5D1EvBJ,https://open.spotify.com/track/4WvMf3eLoIRbFKb5D1EvBJ,4WvMf3eLoIRbFKb5D1EvBJ,TRUE
11,Chocolate City,Parliament,spotify:track:5v5he4pocnIMYm7uVUZlRW,https://open.spotify.com/track/5v5he4pocnIMYm7uVUZlRW,5v5he4pocnIMYm7uVUZlRW,FALSE
12,Pump Me Up,Trouble Funk,spotify:track:5bet1HmdOgL9OBBeEaG1wm,https://open.spotify.com/track/5bet1HmdOgL9OBBeEaG1wm,5bet1HmdOgL9OBBeEaG1wm,FALSE
