"Playlist name","Track name","Artist name"
"Atlanta: The Game Bureau","Ms. Jackson","Outkast"
"Atlanta: The Game Bureau","Welcome to Atlanta","Jermaine Dupri & Ludacris"
"Atlanta: The Game Bureau","Waterfalls","TLC"
"Atlanta: The Game Bureau","Yeah!","Usher"
"Atlanta: The Game Bureau","Midnight Train to Georgia","Gladys Knight & the Pips"
"Atlanta: The Game Bureau","Bad and Boujee","Migos"
"Atlanta: The Game Bureau","Mask Off","Future"
"Atlanta: The Game Bureau","Georgia on My Mind","Ray Charles"
"Atlanta: The Game Bureau","Chicken Fried","Zac Brown Band"
"Atlanta: The Game Bureau","So Fresh, So Clean","Outkast"
"Austin: The Game Bureau","On the Road Again","Willie Nelson"
"Austin: The Game Bureau","Pride and Joy","Stevie Ray Vaughan & Double Trouble"
"Austin: The Game Bureau","London Homesick Blues","Gary P. Nunn"
"Austin: The Game Bureau","The Way We Get By","Spoon"
"Austin: The Game Bureau","Miles and Miles of Texas","Asleep at the Wheel"
"Austin: The Game Bureau","Dearly Departed","Shakey Graves"
"Austin: The Game Bureau","Bright Lights","Gary Clark Jr."
"Austin: The Game Bureau","Your Hand in Mine","Explosions in the Sky"
"Austin: The Game Bureau","Deep in the Heart of Texas","Bob Wills & His Texas Playboys"
"Austin: The Game Bureau","Young Men Dead","The Black Angels"
"Baltimore: The Game Bureau","Baltimore","Nina Simone"
"Baltimore: The Game Bureau","Baltimore","Randy Newman"
"Baltimore: The Game Bureau","Myth","Beach House"
"Baltimore: The Game Bureau","My Girls","Animal Collective"
"Baltimore: The Game Bureau","Seasons (Waiting on You)","Future Islands"
"Baltimore: The Game Bureau","Snookered","Dan Deacon"
"Baltimore: The Game Bureau","Minnie the Moocher","Cab Calloway"
"Baltimore: The Game Bureau","God Bless the Child","Billie Holiday"
"Baltimore: The Game Bureau","Thank God I'm a Country Boy","John Denver"
"Baltimore: The Game Bureau","The Anthem","Good Charlotte"
"Baton Rouge: The Game Bureau","Callin' Baton Rouge","Garth Brooks"
"Baton Rouge: The Game Bureau","Good","Better Than Ezra"
"Baton Rouge: The Game Bureau","Wipe Me Down","Boosie Badazz"
"Baton Rouge: The Game Bureau","2 Phones","Kevin Gates"
"Baton Rouge: The Game Bureau","Outside Today","YoungBoy Never Broke Again"
"Baton Rouge: The Game Bureau","Baby Scratch My Back","Slim Harpo"
"Baton Rouge: The Game Bureau","Hey Fighting Tigers","Better Than Ezra"
"Baton Rouge: The Game Bureau","Ya Ya","Buckwheat Zydeco"
"Baton Rouge: The Game Bureau","Louisiana 1927","Randy Newman"
"Baton Rouge: The Game Bureau","Really Really","Kevin Gates"
"Biloxi: The Game Bureau","Biloxi","Jesse Winchester"
"Biloxi: The Game Bureau","Margaritaville","Jimmy Buffett"
"Biloxi: The Game Bureau","Kryptonite","3 Doors Down"
"Biloxi: The Game Bureau","The Thrill Is Gone","B.B. King"
"Biloxi: The Game Bureau","Mannish Boy","Muddy Waters"
"Biloxi: The Game Bureau","Cross Road Blues","Robert Johnson"
"Biloxi: The Game Bureau","Kiss an Angel Good Mornin'","Charley Pride"
"Biloxi: The Game Bureau","Mississippi Girl","Faith Hill"
"Biloxi: The Game Bureau","That's All Right","Elvis Presley"
"Biloxi: The Game Bureau","Come Monday","Jimmy Buffett"
"Boston: The Game Bureau","Sweet Caroline","Neil Diamond"
"Boston: The Game Bureau","Dirty Water","The Standells"
"Boston: The Game Bureau","I'm Shipping Up to Boston","Dropkick Murphys"
"Boston: The Game Bureau","Dream On","Aerosmith"
"Boston: The Game Bureau","More Than a Feeling","Boston"
"Boston: The Game Bureau","Just What I Needed","The Cars"
"Boston: The Game Bureau","Boston","Augustana"
"Boston: The Game Bureau","Centerfold","The J. Geils Band"
"Boston: The Game Bureau","Candy Girl","New Edition"
"Boston: The Game Bureau","Where Is My Mind?","Pixies"
"Buffalo: The Game Bureau","Iris","Goo Goo Dolls"
"Buffalo: The Game Bureau","Shout","The Isley Brothers"
"Buffalo: The Game Bureau","Super Freak","Rick James"
"Buffalo: The Game Bureau","32 Flavors","Ani DiFranco"
"Buffalo: The Game Bureau","Name","Goo Goo Dolls"
"Buffalo: The Game Bureau","These Are Days","10,000 Maniacs"
"Buffalo: The Game Bureau","Give It to Me Baby","Rick James"
"Buffalo: The Game Bureau","Morning Dance","Spyro Gyra"
"Buffalo: The Game Bureau","Slide","Goo Goo Dolls"
"Buffalo: The Game Bureau","Mary Jane Girls - All Night Long","Mary Jane Girls"
"Charlotte: The Game Bureau","Raise Up","Petey Pablo"
"Charlotte: The Game Bureau","Suge","DaBaby"
"Charlotte: The Game Bureau","Charlene","Anthony Hamilton"
