"position","artist","title","search"
"1","Steve Goodman","Go Cubs Go","Steve Goodman - Go Cubs Go"
"2","Captain Stubby and the Buccaneers","Let's Go, Go-Go White Sox","Captain Stubby and the Buccaneers - Let's Go, Go-Go White Sox"
"3","The Chicago Bears Shufflin' Crew","The Super Bowl Shuffle","The Chicago Bears Shufflin' Crew - The Super Bowl Shuffle"
"4","The Alan Parsons Project","Sirius","The Alan Parsons Project - Sirius"
"5","The Fratellis","Chelsea Dagger","The Fratellis - Chelsea Dagger"
"6","Frank Sinatra","My Kind of Town (Chicago Is)","Frank Sinatra - My Kind of Town (Chicago Is)"
"7","Kanye West","Homecoming","Kanye West - Homecoming"
"8","The Blues Brothers","Sweet Home Chicago","The Blues Brothers - Sweet Home Chicago"
"9","Chicago","Saturday in the Park","Chicago - Saturday in the Park"
"10","Common","The Corner","Common - The Corner"
